lenX,lenY,bits,proba
123,122,8,0.082
123,122,9,0.081
123,122,10,0.046
123,122,11,0.035
123,122,12,0.018
123,122,13,0.014
123,122,14,0.011
123,122,15,0.002
123,122,16,0.002
123,122,17,0.002
123,122,18,0.0
123,122,19,0.0
123,122,20,0.0
123,122,21,0.0
123,122,22,0.0
123,122,23,0.0
123,122,24,0.0
123,122,25,0.0
123,122,26,0.0
123,122,27,0.0
123,122,28,0.0
123,122,29,0.0
123,122,30,0.0
123,122,31,0.0
123,122,32,0.0
123,121,8,0.25
123,121,9,0.191
123,121,10,0.131
123,121,11,0.077
123,121,12,0.083
123,121,13,0.05
123,121,14,0.038
123,121,15,0.026
123,121,16,0.014
123,121,17,0.009
123,121,18,0.007
123,121,19,0.005
123,121,20,0.003
123,121,21,0.002
123,121,22,0.0
123,121,23,0.0
123,121,24,0.001
123,121,25,0.001
123,121,26,0.0
123,121,27,0.0
123,121,28,0.0
123,121,29,0.0
123,121,30,0.0
123,121,31,0.0
123,121,32,0.0
123,120,8,0.123
123,120,9,0.105
123,120,10,0.081
123,120,11,0.037
123,120,12,0.034
123,120,13,0.019
123,120,14,0.019
123,120,15,0.009
123,120,16,0.003
123,120,17,0.005
123,120,18,0.003
123,120,19,0.002
123,120,20,0.003
123,120,21,0.002
123,120,22,0.0
123,120,23,0.0
123,120,24,0.001
123,120,25,0.0
123,120,26,0.0
123,120,27,0.0
123,120,28,0.0
123,120,29,0.0
123,120,30,0.0
123,120,31,0.0
123,120,32,0.0
123,119,8,0.471
123,119,9,0.363
123,119,10,0.275
123,119,11,0.234
123,119,12,0.15
123,119,13,0.115
123,119,14,0.107
123,119,15,0.056
123,119,16,0.045
123,119,17,0.029
123,119,18,0.03
123,119,19,0.013
123,119,20,0.017
123,119,21,0.008
123,119,22,0.005
123,119,23,0.003
123,119,24,0.001
123,119,25,0.001
123,119,26,0.001
123,119,27,0.001
123,119,28,0.0
123,119,29,0.0
123,119,30,0.0
123,119,31,0.0
123,119,32,0.0
123,118,8,0.108
123,118,9,0.062
123,118,10,0.047
123,118,11,0.043
123,118,12,0.016
123,118,13,0.012
123,118,14,0.005
123,118,15,0.007
123,118,16,0.003
123,118,17,0.001
123,118,18,0.001
123,118,19,0.001
123,118,20,0.0
123,118,21,0.0
123,118,22,0.0
123,118,23,0.0
123,118,24,0.0
123,118,25,0.0
123,118,26,0.001
123,118,27,0.0
123,118,28,0.0
123,118,29,0.0
123,118,30,0.0
123,118,31,0.0
123,118,32,0.0
123,117,8,0.428
123,117,9,0.346
123,117,10,0.283
123,117,11,0.216
123,117,12,0.167
123,117,13,0.117
123,117,14,0.085
123,117,15,0.076
123,117,16,0.044
123,117,17,0.038
123,117,18,0.024
123,117,19,0.022
123,117,20,0.011
123,117,21,0.014
123,117,22,0.007
123,117,23,0.004
123,117,24,0.003
123,117,25,0.001
123,117,26,0.004
123,117,27,0.0
123,117,28,0.0
123,117,29,0.0
123,117,30,0.0
123,117,31,0.001
123,117,32,0.0
123,116,8,0.108
123,116,9,0.066
123,116,10,0.046
123,116,11,0.034
123,116,12,0.027
123,116,13,0.023
123,116,14,0.013
123,116,15,0.006
123,116,16,0.003
123,116,17,0.001
123,116,18,0.003
123,116,19,0.001
123,116,20,0.001
123,116,21,0.0
123,116,22,0.0
123,116,23,0.0
123,116,24,0.0
123,116,25,0.0
123,116,26,0.0
123,116,27,0.0
123,116,28,0.0
123,116,29,0.0
123,116,30,0.0
123,116,31,0.0
123,116,32,0.0
123,115,8,0.482
123,115,9,0.394
123,115,10,0.321
123,115,11,0.22
123,115,12,0.17
123,115,13,0.149
123,115,14,0.101
123,115,15,0.068
123,115,16,0.065
123,115,17,0.045
123,115,18,0.035
123,115,19,0.028
123,115,20,0.022
123,115,21,0.012
123,115,22,0.007
123,115,23,0.005
123,115,24,0.004
123,115,25,0.001
123,115,26,0.002
123,115,27,0.0
123,115,28,0.0
123,115,29,0.002
123,115,30,0.0
123,115,31,0.0
123,115,32,0.0
123,114,8,0.15
123,114,9,0.099
123,114,10,0.076
123,114,11,0.057
123,114,12,0.03
123,114,13,0.019
123,114,14,0.016
123,114,15,0.012
123,114,16,0.005
123,114,17,0.006
123,114,18,0.004
123,114,19,0.002
123,114,20,0.007
123,114,21,0.001
123,114,22,0.0
123,114,23,0.001
123,114,24,0.0
123,114,25,0.001
123,114,26,0.0
123,114,27,0.0
123,114,28,0.0
123,114,29,0.0
123,114,30,0.0
123,114,31,0.0
123,114,32,0.0
123,113,8,0.342
123,113,9,0.276
123,113,10,0.201
123,113,11,0.17
123,113,12,0.114
123,113,13,0.093
123,113,14,0.078
123,113,15,0.036
123,113,16,0.03
123,113,17,0.018
123,113,18,0.022
123,113,19,0.012
123,113,20,0.005
123,113,21,0.006
123,113,22,0.004
123,113,23,0.0
123,113,24,0.0
123,113,25,0.0
123,113,26,0.0
123,113,27,0.0
123,113,28,0.0
123,113,29,0.001
123,113,30,0.0
123,113,31,0.0
123,113,32,0.0
123,112,8,0.164
123,112,9,0.122
123,112,10,0.087
123,112,11,0.057
123,112,12,0.039
123,112,13,0.021
123,112,14,0.016
123,112,15,0.015
123,112,16,0.005
123,112,17,0.006
123,112,18,0.001
123,112,19,0.003
123,112,20,0.004
123,112,21,0.001
123,112,22,0.0
123,112,23,0.001
123,112,24,0.0
123,112,25,0.0
123,112,26,0.0
123,112,27,0.0
123,112,28,0.0
123,112,29,0.0
123,112,30,0.0
123,112,31,0.0
123,112,32,0.0
123,111,8,0.713
123,111,9,0.587
123,111,10,0.521
123,111,11,0.452
123,111,12,0.389
123,111,13,0.319
123,111,14,0.25
123,111,15,0.206
123,111,16,0.15
123,111,17,0.141
123,111,18,0.111
123,111,19,0.071
123,111,20,0.06
123,111,21,0.053
123,111,22,0.041
123,111,23,0.025
123,111,24,0.025
123,111,25,0.011
123,111,26,0.012
123,111,27,0.011
123,111,28,0.012
123,111,29,0.005
123,111,30,0.003
123,111,31,0.001
123,111,32,0.001
123,110,8,0.091
123,110,9,0.079
123,110,10,0.056
123,110,11,0.039
123,110,12,0.026
123,110,13,0.012
123,110,14,0.012
123,110,15,0.003
123,110,16,0.003
123,110,17,0.003
123,110,18,0.0
123,110,19,0.002
123,110,20,0.0
123,110,21,0.0
123,110,22,0.0
123,110,23,0.0
123,110,24,0.0
123,110,25,0.0
123,110,26,0.0
123,110,27,0.0
123,110,28,0.0
123,110,29,0.0
123,110,30,0.0
123,110,31,0.0
123,110,32,0.0
123,109,8,0.258
123,109,9,0.191
123,109,10,0.134
123,109,11,0.116
123,109,12,0.081
123,109,13,0.053
123,109,14,0.035
123,109,15,0.024
123,109,16,0.021
123,109,17,0.013
123,109,18,0.007
123,109,19,0.007
123,109,20,0.001
123,109,21,0.003
123,109,22,0.0
123,109,23,0.0
123,109,24,0.001
123,109,25,0.001
123,109,26,0.0
123,109,27,0.0
123,109,28,0.0
123,109,29,0.0
123,109,30,0.001
123,109,31,0.0
123,109,32,0.0
123,108,8,0.13
123,108,9,0.098
123,108,10,0.09
123,108,11,0.048
123,108,12,0.039
123,108,13,0.02
123,108,14,0.016
123,108,15,0.013
123,108,16,0.009
123,108,17,0.007
123,108,18,0.004
123,108,19,0.003
123,108,20,0.001
123,108,21,0.001
123,108,22,0.002
123,108,23,0.001
123,108,24,0.0
123,108,25,0.0
123,108,26,0.0
123,108,27,0.0
123,108,28,0.0
123,108,29,0.0
123,108,30,0.0
123,108,31,0.0
123,108,32,0.0
123,107,8,0.474
123,107,9,0.387
123,107,10,0.305
123,107,11,0.234
123,107,12,0.171
123,107,13,0.129
123,107,14,0.102
123,107,15,0.079
123,107,16,0.055
123,107,17,0.034
123,107,18,0.026
123,107,19,0.022
123,107,20,0.017
123,107,21,0.012
123,107,22,0.008
123,107,23,0.006
123,107,24,0.005
123,107,25,0.002
123,107,26,0.006
123,107,27,0.002
123,107,28,0.0
123,107,29,0.0
123,107,30,0.0
123,107,31,0.0
123,107,32,0.0
123,106,8,0.094
123,106,9,0.078
123,106,10,0.052
123,106,11,0.052
123,106,12,0.014
123,106,13,0.013
123,106,14,0.006
123,106,15,0.006
123,106,16,0.002
123,106,17,0.001
123,106,18,0.0
123,106,19,0.0
123,106,20,0.0
123,106,21,0.0
123,106,22,0.0
123,106,23,0.0
123,106,24,0.0
123,106,25,0.0
123,106,26,0.0
123,106,27,0.0
123,106,28,0.0
123,106,29,0.0
123,106,30,0.0
123,106,31,0.0
123,106,32,0.0
123,105,8,0.475
123,105,9,0.393
123,105,10,0.322
123,105,11,0.266
123,105,12,0.184
123,105,13,0.139
123,105,14,0.109
123,105,15,0.088
123,105,16,0.063
123,105,17,0.047
123,105,18,0.032
123,105,19,0.028
123,105,20,0.023
123,105,21,0.017
123,105,22,0.009
123,105,23,0.015
123,105,24,0.004
123,105,25,0.009
123,105,26,0.003
123,105,27,0.003
123,105,28,0.003
123,105,29,0.002
123,105,30,0.0
123,105,31,0.001
123,105,32,0.0
123,104,8,0.115
123,104,9,0.068
123,104,10,0.053
123,104,11,0.039
123,104,12,0.015
123,104,13,0.012
123,104,14,0.012
123,104,15,0.008
123,104,16,0.005
123,104,17,0.001
123,104,18,0.001
123,104,19,0.0
123,104,20,0.0
123,104,21,0.0
123,104,22,0.0
123,104,23,0.0
123,104,24,0.0
123,104,25,0.0
123,104,26,0.0
123,104,27,0.0
123,104,28,0.0
123,104,29,0.0
123,104,30,0.0
123,104,31,0.0
123,104,32,0.0
123,103,8,0.567
123,103,9,0.484
123,103,10,0.435
123,103,11,0.32
123,103,12,0.265
123,103,13,0.2
123,103,14,0.157
123,103,15,0.139
123,103,16,0.101
123,103,17,0.07
123,103,18,0.062
123,103,19,0.053
123,103,20,0.022
123,103,21,0.028
123,103,22,0.02
123,103,23,0.016
123,103,24,0.012
123,103,25,0.011
123,103,26,0.008
123,103,27,0.004
123,103,28,0.004
123,103,29,0.0
123,103,30,0.002
123,103,31,0.001
123,103,32,0.0
123,102,8,0.136
123,102,9,0.122
123,102,10,0.083
123,102,11,0.051
123,102,12,0.044
123,102,13,0.031
123,102,14,0.013
123,102,15,0.01
123,102,16,0.004
123,102,17,0.006
123,102,18,0.003
123,102,19,0.002
123,102,20,0.002
123,102,21,0.0
123,102,22,0.0
123,102,23,0.0
123,102,24,0.0
123,102,25,0.0
123,102,26,0.0
123,102,27,0.0
123,102,28,0.0
123,102,29,0.0
123,102,30,0.0
123,102,31,0.0
123,102,32,0.0
123,101,8,0.284
123,101,9,0.206
123,101,10,0.183
123,101,11,0.139
123,101,12,0.1
123,101,13,0.089
123,101,14,0.055
123,101,15,0.045
123,101,16,0.02
123,101,17,0.02
123,101,18,0.012
123,101,19,0.014
123,101,20,0.009
123,101,21,0.009
123,101,22,0.003
123,101,23,0.002
123,101,24,0.0
123,101,25,0.002
123,101,26,0.001
123,101,27,0.0
123,101,28,0.0
123,101,29,0.0
123,101,30,0.0
123,101,31,0.0
123,101,32,0.0
123,100,8,0.1
123,100,9,0.073
123,100,10,0.048
