len(X),len(Y),"[ 2^7, 2^8)","[ 2^8, 2^9)","[ 2^9, 2^10)","[ 2^10, 2^11)","[ 2^11, 2^12)","[ 2^12, 2^13)","[ 2^13, 2^14)","[ 2^14, 2^15)","[ 2^15, 2^16)","[ 2^16, 2^17)","[ 2^17, 2^18)","[ 2^18, 2^19)","[ 2^19, 2^20)","[ 2^20, 2^21)","[ 2^21, 2^22)","[ 2^22, 2^23)","[ 2^23, 2^24)","[ 2^24, 2^25)","[ 2^25, 2^26)","[ 2^26, 2^27)","[ 2^27, 2^28)","[ 2^28, 2^29)","[ 2^29, 2^30)","[ 2^30, 2^31)","[ 2^31, 2^32)","[ 2^32, 2^33)","[ 2^33, 2^34)","[ 2^34, 2^35)","[ 2^35, 2^36)","[ 2^36, 2^37)","[ 2^37, 2^38)","[ 2^38, 2^39)","[ 2^39, 2^40)","[ 2^40, 2^41)","[ 2^41, 2^42)","[ 2^42, 2^43)","[ 2^43, 2^44)","[ 2^44, 2^45)","[ 2^45, 2^46)","[ 2^46, 2^47)","[ 2^47, 2^48)","[ 2^48, 2^49)","[ 2^49, 2^50)","[ 2^50, 2^51)","[ 2^51, 2^52)","[ 2^52, 2^53)","[ 2^53, 2^54)","[ 2^54, 2^55)","[ 2^55, 2^56)","[ 2^56, 2^57)","[ 2^57, 2^58)","[ 2^58, 2^59)","[ 2^59, 2^60)","[ 2^60, 2^61)","[ 2^61, 2^62)","[ 2^62, 2^63)","[ 2^63, 2^64)"
130,129,0.067,0.04,0.022,0.013,0.007,0.003,0.001,0.0,0.002,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,128,0.196,0.129,0.094,0.06,0.03,0.025,0.019,0.01,0.007,0.006,0.006,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,127,0.149,0.079,0.056,0.04,0.02,0.011,0.016,0.006,0.004,0.003,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,126,0.39,0.33,0.234,0.149,0.117,0.076,0.042,0.028,0.025,0.024,0.017,0.003,0.005,0.002,0.001,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,125,0.07,0.032,0.019,0.017,0.006,0.008,0.002,0.003,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,124,0.402,0.316,0.311,0.192,0.148,0.116,0.069,0.059,0.051,0.019,0.017,0.014,0.008,0.008,0.005,0.007,0.003,0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,123,0.057,0.031,0.028,0.01,0.006,0.002,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,122,0.414,0.3,0.243,0.184,0.136,0.097,0.079,0.06,0.028,0.033,0.022,0.01,0.013,0.008,0.002,0.002,0.004,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,121,0.126,0.097,0.06,0.038,0.02,0.015,0.019,0.011,0.005,0.001,0.002,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,120,0.28,0.195,0.174,0.126,0.073,0.055,0.04,0.025,0.025,0.011,0.006,0.009,0.005,0.001,0.001,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
