lenX,lenY,bits,proba
147,146,8,0.21
147,146,9,0.146
147,146,10,0.082
147,146,11,0.066
147,146,12,0.052
147,146,13,0.03
147,146,14,0.018
147,146,15,0.009
147,146,16,0.014
147,146,17,0.007
147,146,18,0.001
147,146,19,0.003
147,146,20,0.002
147,146,21,0.0
147,146,22,0.001
147,146,23,0.0
147,146,24,0.001
147,146,25,0.0
147,146,26,0.0
147,146,27,0.0
147,146,28,0.0
147,146,29,0.0
147,146,30,0.0
147,146,31,0.0
147,146,32,0.0
147,145,8,0.325
147,145,9,0.237
147,145,10,0.159
147,145,11,0.114
147,145,12,0.083
147,145,13,0.056
147,145,14,0.032
147,145,15,0.033
147,145,16,0.021
147,145,17,0.012
147,145,18,0.01
147,145,19,0.005
147,145,20,0.008
147,145,21,0.001
147,145,22,0.002
147,145,23,0.001
147,145,24,0.002
147,145,25,0.0
147,145,26,0.0
147,145,27,0.0
147,145,28,0.0
147,145,29,0.0
147,145,30,0.0
147,145,31,0.0
147,145,32,0.0
147,144,8,0.285
147,144,9,0.19
147,144,10,0.139
147,144,11,0.1
147,144,12,0.066
147,144,13,0.048
147,144,14,0.029
147,144,15,0.024
147,144,16,0.014
147,144,17,0.008
147,144,18,0.008
147,144,19,0.004
147,144,20,0.006
147,144,21,0.001
147,144,22,0.001
147,144,23,0.0
147,144,24,0.0
147,144,25,0.0
147,144,26,0.0
147,144,27,0.0
147,144,28,0.0
147,144,29,0.0
147,144,30,0.0
147,144,31,0.0
147,144,32,0.0
147,143,8,0.492
147,143,9,0.374
147,143,10,0.282
147,143,11,0.221
147,143,12,0.186
147,143,13,0.117
147,143,14,0.08
147,143,15,0.072
147,143,16,0.054
147,143,17,0.042
147,143,18,0.027
147,143,19,0.025
147,143,20,0.017
147,143,21,0.005
147,143,22,0.004
147,143,23,0.004
147,143,24,0.002
147,143,25,0.002
147,143,26,0.002
147,143,27,0.002
147,143,28,0.0
147,143,29,0.0
147,143,30,0.0
147,143,31,0.0
147,143,32,0.0
147,142,8,0.197
147,142,9,0.151
147,142,10,0.101
147,142,11,0.067
147,142,12,0.031
147,142,13,0.035
147,142,14,0.021
147,142,15,0.012
147,142,16,0.007
147,142,17,0.001
147,142,18,0.002
147,142,19,0.003
147,142,20,0.001
147,142,21,0.0
147,142,22,0.0
147,142,23,0.001
147,142,24,0.0
147,142,25,0.0
147,142,26,0.0
147,142,27,0.0
147,142,28,0.0
147,142,29,0.0
147,142,30,0.0
147,142,31,0.0
147,142,32,0.0
147,141,8,0.454
147,141,9,0.367
147,141,10,0.319
147,141,11,0.263
147,141,12,0.169
147,141,13,0.12
147,141,14,0.089
147,141,15,0.064
147,141,16,0.047
147,141,17,0.032
147,141,18,0.032
147,141,19,0.022
147,141,20,0.027
147,141,21,0.013
147,141,22,0.003
147,141,23,0.004
147,141,24,0.003
147,141,25,0.003
147,141,26,0.003
147,141,27,0.0
147,141,28,0.001
147,141,29,0.001
147,141,30,0.001
147,141,31,0.001
147,141,32,0.0
147,140,8,0.207
147,140,9,0.163
147,140,10,0.108
147,140,11,0.076
147,140,12,0.048
147,140,13,0.023
147,140,14,0.026
147,140,15,0.014
147,140,16,0.009
147,140,17,0.003
147,140,18,0.004
147,140,19,0.002
147,140,20,0.002
147,140,21,0.001
147,140,22,0.0
147,140,23,0.0
147,140,24,0.0
147,140,25,0.0
147,140,26,0.001
147,140,27,0.0
147,140,28,0.0
147,140,29,0.0
147,140,30,0.0
147,140,31,0.0
147,140,32,0.0
147,139,8,0.507
147,139,9,0.409
147,139,10,0.313
147,139,11,0.252
147,139,12,0.186
147,139,13,0.174
147,139,14,0.087
147,139,15,0.079
147,139,16,0.074
147,139,17,0.054
147,139,18,0.031
147,139,19,0.017
147,139,20,0.014
147,139,21,0.013
147,139,22,0.013
147,139,23,0.009
147,139,24,0.001
147,139,25,0.003
147,139,26,0.003
147,139,27,0.0
147,139,28,0.0
147,139,29,0.001
147,139,30,0.001
147,139,31,0.0
147,139,32,0.0
