lenX,lenY,bits,proba
137,136,8,0.216
137,136,9,0.139
137,136,10,0.087
137,136,11,0.057
137,136,12,0.036
137,136,13,0.016
137,136,14,0.011
137,136,15,0.008
137,136,16,0.001
137,136,17,0.002
137,136,18,0.005
137,136,19,0.001
137,136,20,0.0
137,136,21,0.0
137,136,22,0.001
137,136,23,0.0
137,136,24,0.0
137,136,25,0.0
137,136,26,0.001
137,136,27,0.0
137,136,28,0.0
137,136,29,0.0
137,136,30,0.0
137,136,31,0.0
137,136,32,0.0
137,135,8,0.307
137,135,9,0.215
137,135,10,0.143
137,135,11,0.125
137,135,12,0.064
137,135,13,0.049
137,135,14,0.042
137,135,15,0.013
137,135,16,0.02
137,135,17,0.011
137,135,18,0.009
137,135,19,0.006
137,135,20,0.005
137,135,21,0.001
137,135,22,0.001
137,135,23,0.0
137,135,24,0.0
137,135,25,0.0
137,135,26,0.0
137,135,27,0.0
137,135,28,0.0
137,135,29,0.0
137,135,30,0.0
137,135,31,0.0
137,135,32,0.0
137,134,8,0.221
137,134,9,0.15
137,134,10,0.108
137,134,11,0.077
137,134,12,0.056
137,134,13,0.036
137,134,14,0.013
137,134,15,0.013
137,134,16,0.012
137,134,17,0.004
137,134,18,0.004
137,134,19,0.002
137,134,20,0.002
137,134,21,0.001
137,134,22,0.0
137,134,23,0.0
137,134,24,0.0
137,134,25,0.0
137,134,26,0.0
137,134,27,0.0
137,134,28,0.0
137,134,29,0.0
137,134,30,0.0
137,134,31,0.0
137,134,32,0.0
137,133,8,0.468
137,133,9,0.341
137,133,10,0.276
137,133,11,0.206
137,133,12,0.154
137,133,13,0.143
137,133,14,0.089
137,133,15,0.06
137,133,16,0.035
137,133,17,0.025
137,133,18,0.019
137,133,19,0.015
137,133,20,0.012
137,133,21,0.004
137,133,22,0.007
137,133,23,0.002
137,133,24,0.003
137,133,25,0.003
137,133,26,0.002
137,133,27,0.0
137,133,28,0.001
137,133,29,0.0
137,133,30,0.0
137,133,31,0.0
137,133,32,0.0
137,132,8,0.203
137,132,9,0.131
137,132,10,0.07
137,132,11,0.054
137,132,12,0.032
137,132,13,0.018
137,132,14,0.015
137,132,15,0.014
137,132,16,0.007
137,132,17,0.006
137,132,18,0.002
137,132,19,0.0
137,132,20,0.001
137,132,21,0.002
137,132,22,0.0
137,132,23,0.0
137,132,24,0.0
137,132,25,0.0
137,132,26,0.0
137,132,27,0.0
137,132,28,0.0
137,132,29,0.0
137,132,30,0.0
137,132,31,0.0
137,132,32,0.0
137,131,8,0.435
137,131,9,0.367
137,131,10,0.278
137,131,11,0.206
137,131,12,0.177
137,131,13,0.137
137,131,14,0.094
137,131,15,0.076
137,131,16,0.051
137,131,17,0.031
137,131,18,0.027
137,131,19,0.015
137,131,20,0.01
137,131,21,0.008
137,131,22,0.006
137,131,23,0.006
137,131,24,0.005
137,131,25,0.003
137,131,26,0.002
137,131,27,0.001
137,131,28,0.0
137,131,29,0.0
137,131,30,0.0
137,131,31,0.0
137,131,32,0.0
137,130,8,0.205
137,130,9,0.11
137,130,10,0.081
137,130,11,0.054
137,130,12,0.037
137,130,13,0.04
137,130,14,0.014
137,130,15,0.006
137,130,16,0.003
137,130,17,0.006
137,130,18,0.002
137,130,19,0.003
137,130,20,0.0
137,130,21,0.0
137,130,22,0.0
137,130,23,0.0
137,130,24,0.0
137,130,25,0.0
137,130,26,0.001
137,130,27,0.0
137,130,28,0.0
137,130,29,0.0
137,130,30,0.0
137,130,31,0.0
137,130,32,0.0
137,129,8,0.492
137,129,9,0.386
137,129,10,0.301
137,129,11,0.226
137,129,12,0.176
137,129,13,0.146
137,129,14,0.085
137,129,15,0.071
137,129,16,0.062
137,129,17,0.05
137,129,18,0.031
137,129,19,0.031
137,129,20,0.013
137,129,21,0.017
137,129,22,0.004
137,129,23,0.007
137,129,24,0.005
137,129,25,0.002
137,129,26,0.001
137,129,27,0.0
137,129,28,0.001
137,129,29,0.002
137,129,30,0.0
137,129,31,0.0
137,129,32,0.0
137,128,8,0.24
137,128,9,0.19
137,128,10,0.094
137,128,11,0.075
137,128,12,0.047
137,128,13,0.03
137,128,14,0.023
137,128,15,0.02
137,128,16,0.005
137,128,17,0.002
137,128,18,0.002
137,128,19,0.001
137,128,20,0.003
137,128,21,0.001
137,128,22,0.0
137,128,23,0.001
137,128,24,0.0
137,128,25,0.0
137,128,26,0.0
137,128,27,0.001
137,128,28,0.0
137,128,29,0.0
137,128,30,0.0
137,128,31,0.0
137,128,32,0.0
137,127,8,0.361
137,127,9,0.298
137,127,10,0.225
137,127,11,0.179
137,127,12,0.127
137,127,13,0.086
137,127,14,0.057
137,127,15,0.048
137,127,16,0.032
137,127,17,0.026
137,127,18,0.012
137,127,19,0.011
137,127,20,0.004
137,127,21,0.005
137,127,22,0.002
137,127,23,0.003
137,127,24,0.003
137,127,25,0.0
137,127,26,0.001
137,127,27,0.0
137,127,28,0.0
137,127,29,0.0
137,127,30,0.0
137,127,31,0.0
137,127,32,0.0
137,126,8,0.242
137,126,9,0.176
137,126,10,0.097
137,126,11,0.095
137,126,12,0.046
137,126,13,0.034
137,126,14,0.022
137,126,15,0.014
137,126,16,0.011
137,126,17,0.009
137,126,18,0.005
137,126,19,0.006
137,126,20,0.0
137,126,21,0.002
137,126,22,0.0
137,126,23,0.0
137,126,24,0.0
137,126,25,0.001
137,126,26,0.0
137,126,27,0.0
137,126,28,0.0
137,126,29,0.0
137,126,30,0.0
137,126,31,0.0
137,126,32,0.0
137,125,8,0.703
137,125,9,0.581
137,125,10,0.492
137,125,11,0.422
137,125,12,0.368
137,125,13,0.274
137,125,14,0.222
137,125,15,0.163
137,125,16,0.145
137,125,17,0.125
137,125,18,0.087
137,125,19,0.063
137,125,20,0.051
137,125,21,0.042
137,125,22,0.023
137,125,23,0.022
137,125,24,0.017
137,125,25,0.012
137,125,26,0.007
137,125,27,0.006
137,125,28,0.002
137,125,29,0.008
137,125,30,0.001
137,125,31,0.001
137,125,32,0.0
137,124,8,0.188
137,124,9,0.124
137,124,10,0.093
137,124,11,0.061
137,124,12,0.038
137,124,13,0.024
137,124,14,0.016
137,124,15,0.006
137,124,16,0.005
137,124,17,0.003
137,124,18,0.002
137,124,19,0.001
137,124,20,0.0
137,124,21,0.0
137,124,22,0.0
137,124,23,0.0
137,124,24,0.0
137,124,25,0.0
137,124,26,0.0
137,124,27,0.001
137,124,28,0.0
137,124,29,0.0
137,124,30,0.0
137,124,31,0.0
137,124,32,0.0
137,123,8,0.319
137,123,9,0.214
137,123,10,0.152
137,123,11,0.132
137,123,12,0.106
137,123,13,0.06
137,123,14,0.056
137,123,15,0.036
137,123,16,0.02
137,123,17,0.023
137,123,18,0.008
137,123,19,0.003
137,123,20,0.008
137,123,21,0.002
137,123,22,0.004
137,123,23,0.001
137,123,24,0.001
137,123,25,0.0
137,123,26,0.003
137,123,27,0.001
137,123,28,0.001
137,123,29,0.001
137,123,30,0.0
137,123,31,0.0
137,123,32,0.0
137,122,8,0.21
137,122,9,0.158
137,122,10,0.131
137,122,11,0.086
137,122,12,0.045
137,122,13,0.039
137,122,14,0.02
137,122,15,0.022
137,122,16,0.013
137,122,17,0.005
137,122,18,0.003
137,122,19,0.001
137,122,20,0.002
137,122,21,0.001
137,122,22,0.0
137,122,23,0.001
137,122,24,0.0
137,122,25,0.0
137,122,26,0.0
137,122,27,0.0
137,122,28,0.0
137,122,29,0.0
137,122,30,0.0
137,122,31,0.0
137,122,32,0.0
137,121,8,0.51
137,121,9,0.388
137,121,10,0.304
137,121,11,0.232
137,121,12,0.179
137,121,13,0.166
137,121,14,0.104
