lenX,lenY,bits,proba
76,75,8,0.162
76,75,9,0.112
76,75,10,0.061
76,75,11,0.039
76,75,12,0.026
76,75,13,0.01
76,75,14,0.007
76,75,15,0.006
76,75,16,0.001
76,75,17,0.002
76,75,18,0.0
76,75,19,0.0
76,75,20,0.0
76,75,21,0.0
76,75,22,0.0
76,75,23,0.0
76,75,24,0.0
76,75,25,0.0
76,75,26,0.0
76,75,27,0.0
76,75,28,0.0
76,75,29,0.0
76,75,30,0.0
76,75,31,0.0
76,75,32,0.0
76,74,8,0.392
76,74,9,0.309
76,74,10,0.243
76,74,11,0.152
76,74,12,0.105
76,74,13,0.074
76,74,14,0.046
76,74,15,0.041
76,74,16,0.018
76,74,17,0.021
76,74,18,0.01
76,74,19,0.006
76,74,20,0.006
76,74,21,0.006
76,74,22,0.002
76,74,23,0.001
76,74,24,0.0
76,74,25,0.001
76,74,26,0.0
76,74,27,0.0
76,74,28,0.0
76,74,29,0.0
76,74,30,0.0
76,74,31,0.0
76,74,32,0.0
76,73,8,0.226
76,73,9,0.167
76,73,10,0.114
76,73,11,0.074
76,73,12,0.048
76,73,13,0.028
76,73,14,0.018
76,73,15,0.011
76,73,16,0.012
76,73,17,0.008
76,73,18,0.004
76,73,19,0.002
76,73,20,0.001
76,73,21,0.001
76,73,22,0.0
76,73,23,0.0
76,73,24,0.002
76,73,25,0.0
76,73,26,0.0
76,73,27,0.0
76,73,28,0.0
76,73,29,0.0
76,73,30,0.0
76,73,31,0.0
76,73,32,0.0
76,72,8,0.506
76,72,9,0.395
76,72,10,0.291
76,72,11,0.214
76,72,12,0.155
76,72,13,0.111
76,72,14,0.074
76,72,15,0.054
76,72,16,0.053
76,72,17,0.027
76,72,18,0.024
76,72,19,0.011
76,72,20,0.007
76,72,21,0.01
76,72,22,0.006
76,72,23,0.001
76,72,24,0.002
76,72,25,0.0
76,72,26,0.001
76,72,27,0.0
76,72,28,0.001
76,72,29,0.0
76,72,30,0.0
76,72,31,0.0
76,72,32,0.0
76,71,8,0.147
76,71,9,0.114
76,71,10,0.074
76,71,11,0.049
76,71,12,0.024
76,71,13,0.023
76,71,14,0.009
76,71,15,0.004
76,71,16,0.003
76,71,17,0.003
76,71,18,0.002
76,71,19,0.0
76,71,20,0.0
76,71,21,0.0
76,71,22,0.001
76,71,23,0.001
76,71,24,0.0
76,71,25,0.0
76,71,26,0.0
76,71,27,0.0
76,71,28,0.0
76,71,29,0.0
76,71,30,0.0
76,71,31,0.0
76,71,32,0.0
76,70,8,0.526
76,70,9,0.414
76,70,10,0.325
76,70,11,0.251
76,70,12,0.222
76,70,13,0.144
76,70,14,0.124
76,70,15,0.077
76,70,16,0.065
76,70,17,0.039
76,70,18,0.03
76,70,19,0.018
76,70,20,0.02
76,70,21,0.008
76,70,22,0.006
76,70,23,0.006
76,70,24,0.001
76,70,25,0.005
76,70,26,0.003
76,70,27,0.0
76,70,28,0.0
76,70,29,0.0
76,70,30,0.0
76,70,31,0.0
76,70,32,0.0
76,69,8,0.152
76,69,9,0.107
76,69,10,0.059
76,69,11,0.051
76,69,12,0.029
76,69,13,0.013
76,69,14,0.015
76,69,15,0.006
76,69,16,0.003
76,69,17,0.004
76,69,18,0.0
76,69,19,0.005
76,69,20,0.002
76,69,21,0.0
76,69,22,0.001
76,69,23,0.0
76,69,24,0.0
76,69,25,0.0
76,69,26,0.0
76,69,27,0.0
76,69,28,0.0
76,69,29,0.0
76,69,30,0.0
76,69,31,0.0
76,69,32,0.0
76,68,8,0.505
76,68,9,0.379
76,68,10,0.308
76,68,11,0.257
76,68,12,0.2
76,68,13,0.142
76,68,14,0.094
76,68,15,0.067
76,68,16,0.059
76,68,17,0.049
76,68,18,0.035
76,68,19,0.021
76,68,20,0.01
76,68,21,0.007
76,68,22,0.006
76,68,23,0.002
76,68,24,0.005
76,68,25,0.002
76,68,26,0.001
76,68,27,0.001
76,68,28,0.0
76,68,29,0.0
76,68,30,0.0
76,68,31,0.0
76,68,32,0.001
76,67,8,0.214
76,67,9,0.152
76,67,10,0.133
76,67,11,0.079
76,67,12,0.056
76,67,13,0.043
76,67,14,0.03
76,67,15,0.023
76,67,16,0.012
76,67,17,0.003
76,67,18,0.004
76,67,19,0.004
76,67,20,0.003
76,67,21,0.001
76,67,22,0.0
76,67,23,0.0
76,67,24,0.0
76,67,25,0.0
76,67,26,0.001
76,67,27,0.0
76,67,28,0.0
76,67,29,0.0
76,67,30,0.0
76,67,31,0.0
76,67,32,0.0
76,66,8,0.493
76,66,9,0.391
76,66,10,0.291
76,66,11,0.224
76,66,12,0.173
76,66,13,0.122
76,66,14,0.098
76,66,15,0.074
76,66,16,0.045
76,66,17,0.033
76,66,18,0.026
76,66,19,0.021
76,66,20,0.016
76,66,21,0.01
76,66,22,0.007
76,66,23,0.006
76,66,24,0.006
76,66,25,0.004
76,66,26,0.001
76,66,27,0.001
76,66,28,0.0
76,66,29,0.001
76,66,30,0.0
76,66,31,0.002
76,66,32,0.0
76,65,8,0.192
76,65,9,0.125
76,65,10,0.099
76,65,11,0.049
76,65,12,0.04
76,65,13,0.023
76,65,14,0.014
76,65,15,0.014
76,65,16,0.008
76,65,17,0.007
76,65,18,0.003
76,65,19,0.002
76,65,20,0.001
76,65,21,0.002
76,65,22,0.0
76,65,23,0.0
76,65,24,0.0
76,65,25,0.0
76,65,26,0.0
76,65,27,0.0
76,65,28,0.0
76,65,29,0.0
76,65,30,0.0
76,65,31,0.0
76,65,32,0.0
76,64,8,0.683
76,64,9,0.567
76,64,10,0.518
76,64,11,0.429
76,64,12,0.33
76,64,13,0.29
76,64,14,0.247
76,64,15,0.173
76,64,16,0.142
76,64,17,0.095
76,64,18,0.086
76,64,19,0.074
76,64,20,0.042
76,64,21,0.042
76,64,22,0.02
76,64,23,0.032
76,64,24,0.019
76,64,25,0.01
76,64,26,0.012
76,64,27,0.005
76,64,28,0.004
76,64,29,0.008
76,64,30,0.0
76,64,31,0.002
76,64,32,0.002
76,63,8,0.172
76,63,9,0.111
76,63,10,0.068
76,63,11,0.042
76,63,12,0.028
76,63,13,0.008
76,63,14,0.012
76,63,15,0.004
76,63,16,0.003
76,63,17,0.001
76,63,18,0.002
76,63,19,0.004
76,63,20,0.0
76,63,21,0.0
76,63,22,0.0
76,63,23,0.0
76,63,24,0.001
76,63,25,0.0
76,63,26,0.0
76,63,27,0.0
76,63,28,0.0
76,63,29,0.0
76,63,30,0.0
76,63,31,0.0
76,63,32,0.0
76,62,8,0.417
76,62,9,0.296
76,62,10,0.221
76,62,11,0.165
76,62,12,0.129
76,62,13,0.094
76,62,14,0.059
76,62,15,0.036
76,62,16,0.027
76,62,17,0.014
76,62,18,0.012
76,62,19,0.013
76,62,20,0.005
76,62,21,0.003
76,62,22,0.006
76,62,23,0.002
76,62,24,0.001
76,62,25,0.0
76,62,26,0.0
76,62,27,0.001
76,62,28,0.0
76,62,29,0.0
76,62,30,0.0
76,62,31,0.0
76,62,32,0.0
76,61,8,0.201
76,61,9,0.154
76,61,10,0.136
76,61,11,0.078
76,61,12,0.061
76,61,13,0.038
76,61,14,0.026
76,61,15,0.016
76,61,16,0.016
76,61,17,0.009
76,61,18,0.009
76,61,19,0.002
76,61,20,0.003
76,61,21,0.0
76,61,22,0.0
76,61,23,0.0
76,61,24,0.0
76,61,25,0.0
76,61,26,0.001
76,61,27,0.0
76,61,28,0.0
76,61,29,0.0
76,61,30,0.0
76,61,31,0.0
76,61,32,0.0
76,60,8,0.545
76,60,9,0.388
76,60,10,0.358
76,60,11,0.225
76,60,12,0.186
76,60,13,0.141
76,60,14,0.109
76,60,15,0.062
76,60,16,0.049
76,60,17,0.038
76,60,18,0.021
76,60,19,0.023
76,60,20,0.014
76,60,21,0.012
76,60,22,0.011
76,60,23,0.006
76,60,24,0.006
76,60,25,0.002
76,60,26,0.0
76,60,27,0.002
76,60,28,0.0
76,60,29,0.0
76,60,30,0.0
76,60,31,0.0
76,60,32,0.0
76,59,8,0.164
76,59,9,0.085
76,59,10,0.062
76,59,11,0.027
76,59,12,0.026
76,59,13,0.017
76,59,14,0.006
76,59,15,0.004
76,59,16,0.0
76,59,17,0.002
76,59,18,0.003
76,59,19,0.001
76,59,20,0.001
76,59,21,0.001
76,59,22,0.0
76,59,23,0.0
76,59,24,0.0
76,59,25,0.0
76,59,26,0.0
76,59,27,0.0
76,59,28,0.0
76,59,29,0.0
76,59,30,0.0
76,59,31,0.0
76,59,32,0.0
76,58,8,0.559
76,58,9,0.474
76,58,10,0.348
76,58,11,0.277
76,58,12,0.265
76,58,13,0.172
76,58,14,0.139
76,58,15,0.108
76,58,16,0.077
76,58,17,0.087
76,58,18,0.054
76,58,19,0.036
76,58,20,0.035
76,58,21,0.011
76,58,22,0.015
76,58,23,0.012
76,58,24,0.01
76,58,25,0.004
76,58,26,0.003
76,58,27,0.004
76,58,28,0.001
76,58,29,0.002
76,58,30,0.0
76,58,31,0.0
76,58,32,0.0
76,57,8,0.165
76,57,9,0.085
76,57,10,0.073
76,57,11,0.031
76,57,12,0.025
76,57,13,0.01
76,57,14,0.01
76,57,15,0.004
76,57,16,0.002
76,57,17,0.004
76,57,18,0.001
76,57,19,0.001
76,57,20,0.0
76,57,21,0.0
76,57,22,0.001
76,57,23,0.0
76,57,24,0.0
76,57,25,0.0
76,57,26,0.0
76,57,27,0.0
76,57,28,0.0
76,57,29,0.0
76,57,30,0.0
76,57,31,0.0
76,57,32,0.0
76,56,8,0.626
76,56,9,0.525
76,56,10,0.413
76,56,11,0.361
76,56,12,0.291
76,56,13,0.221
76,56,14,0.153
76,56,15,0.144
76,56,16,0.114
76,56,17,0.08
76,56,18,0.061
76,56,19,0.055
76,56,20,0.037
76,56,21,0.031
76,56,22,0.032
76,56,23,0.015
76,56,24,0.012
76,56,25,0.008
76,56,26,0.005
76,56,27,0.007
76,56,28,0.006
76,56,29,0.003
76,56,30,0.003
76,56,31,0.001
76,56,32,0.001
76,55,8,0.217
76,55,9,0.194
76,55,10,0.129
76,55,11,0.089
76,55,12,0.061
76,55,13,0.037
76,55,14,0.017
76,55,15,0.015
76,55,16,0.017
76,55,17,0.003
76,55,18,0.005
76,55,19,0.005
76,55,20,0.002
76,55,21,0.005
76,55,22,0.003
76,55,23,0.001
76,55,24,0.0
76,55,25,0.0
76,55,26,0.0
76,55,27,0.0
76,55,28,0.0
76,55,29,0.0
76,55,30,0.0
76,55,31,0.0
76,55,32,0.0
76,54,8,0.449
76,54,9,0.319
76,54,10,0.284
76,54,11,0.173
76,54,12,0.14
76,54,13,0.099
76,54,14,0.084
76,54,15,0.046
76,54,16,0.033
76,54,17,0.027
76,54,18,0.021
76,54,19,0.017
76,54,20,0.009
76,54,21,0.006
76,54,22,0.005
76,54,23,0.001
76,54,24,0.002
76,54,25,0.0
76,54,26,0.002
76,54,27,0.001
76,54,28,0.0
76,54,29,0.0
76,54,30,0.001
76,54,31,0.0
76,54,32,0.001
76,53,8,0.168
76,53,9,0.096
76,53,10,0.074
76,53,11,0.029
76,53,12,0.037
76,53,13,0.013
76,53,14,0.014
76,53,15,0.006
76,53,16,0.006
76,53,17,0.002
76,53,18,0.001
76,53,19,0.0
76,53,20,0.0
76,53,21,0.0
76,53,22,0.0
76,53,23,0.0
76,53,24,0.0
76,53,25,0.0
76,53,26,0.0
76,53,27,0.0
76,53,28,0.0
76,53,29,0.0
76,53,30,0.0
76,53,31,0.0
76,53,32,0.0
76,52,8,0.702
76,52,9,0.621
76,52,10,0.569
76,52,11,0.456
76,52,12,0.406
76,52,13,0.346
76,52,14,0.254
76,52,15,0.225
76,52,16,0.192
76,52,17,0.147
76,52,18,0.132
76,52,19,0.089
76,52,20,0.069
76,52,21,0.071
76,52,22,0.061
76,52,23,0.026
76,52,24,0.027
76,52,25,0.018
76,52,26,0.012
76,52,27,0.009
76,52,28,0.007
76,52,29,0.01
76,52,30,0.002
76,52,31,0.002
76,52,32,0.0
76,51,8,0.141
76,51,9,0.097
76,51,10,0.071
76,51,11,0.054
76,51,12,0.027
76,51,13,0.021
76,51,14,0.019
76,51,15,0.005
76,51,16,0.003
76,51,17,0.003
76,51,18,0.002
76,51,19,0.001
76,51,20,0.0
76,51,21,0.001
76,51,22,0.001
76,51,23,0.0
76,51,24,0.0
76,51,25,0.0
76,51,26,0.0
76,51,27,0.0
76,51,28,0.0
76,51,29,0.0
76,51,30,0.0
76,51,31,0.0
76,51,32,0.0
76,50,8,0.402
76,50,9,0.283
76,50,10,0.21
76,50,11,0.149
76,50,12,0.111
76,50,13,0.076
76,50,14,0.055
76,50,15,0.043
76,50,16,0.024
76,50,17,0.012
76,50,18,0.014
76,50,19,0.008
76,50,20,0.012
76,50,21,0.003
76,50,22,0.001
76,50,23,0.001
76,50,24,0.002
76,50,25,0.002
76,50,26,0.001
76,50,27,0.0
76,50,28,0.0
76,50,29,0.0
76,50,30,0.0
76,50,31,0.0
76,50,32,0.0
76,49,8,0.227
76,49,9,0.151
76,49,10,0.117
76,49,11,0.086
76,49,12,0.06
76,49,13,0.036
76,49,14,0.028
76,49,15,0.013
76,49,16,0.012
76,49,17,0.007
76,49,18,0.007
76,49,19,0.004
76,49,20,0.004
76,49,21,0.0
76,49,22,0.0
76,49,23,0.0
76,49,24,0.0
76,49,25,0.0
76,49,26,0.0
76,49,27,0.0
76,49,28,0.0
76,49,29,0.0
76,49,30,0.0
76,49,31,0.0
76,49,32,0.0
76,48,8,0.521
76,48,9,0.418
76,48,10,0.35
76,48,11,0.273
76,48,12,0.203
76,48,13,0.161
76,48,14,0.126
76,48,15,0.087
76,48,16,0.072
76,48,17,0.047
76,48,18,0.042
76,48,19,0.034
