"lenX","lenY","bits","proba"
76,75,8,0.177
76,75,9,0.116
76,75,10,0.076
76,75,11,0.044
76,75,12,0.027
76,75,13,0.024
76,75,14,0.009
76,75,15,0.005
76,75,16,0.004
76,75,17,0.003
76,75,18,0.001
76,75,19,0.001
76,75,20,0.002
76,75,21,0
76,75,22,0
76,75,23,0
76,75,24,0.001
76,75,25,0
76,75,26,0
76,75,27,0
76,75,28,0
76,75,29,0
76,75,30,0
76,75,31,0
76,75,32,0
76,74,8,0.393
76,74,9,0.296
76,74,10,0.213
76,74,11,0.153
76,74,12,0.131
76,74,13,0.069
76,74,14,0.062
76,74,15,0.04
76,74,16,0.024
76,74,17,0.016
76,74,18,0.014
76,74,19,0.004
76,74,20,0.007
76,74,21,0.003
76,74,22,0.001
76,74,23,0
76,74,24,0.004
76,74,25,0
76,74,26,0
76,74,27,0
76,74,28,0
76,74,29,0
76,74,30,0
76,74,31,0
76,74,32,0
76,73,8,0.235
76,73,9,0.164
76,73,10,0.112
76,73,11,0.09
76,73,12,0.072
76,73,13,0.042
76,73,14,0.028
76,73,15,0.012
76,73,16,0.007
76,73,17,0.006
76,73,18,0.006
76,73,19,0.004
76,73,20,0
76,73,21,0.002
76,73,22,0.002
76,73,23,0
76,73,24,0
76,73,25,0
76,73,26,0
76,73,27,0
76,73,28,0
76,73,29,0
76,73,30,0
76,73,31,0
76,73,32,0
76,72,8,0.472
76,72,9,0.369
76,72,10,0.275
76,72,11,0.233
76,72,12,0.151
76,72,13,0.117
76,72,14,0.067
76,72,15,0.059
76,72,16,0.041
76,72,17,0.035
76,72,18,0.025
76,72,19,0.02
76,72,20,0.007
76,72,21,0.008
76,72,22,0.005
76,72,23,0.003
76,72,24,0.001
76,72,25,0.001
76,72,26,0
76,72,27,0.001
76,72,28,0
76,72,29,0
76,72,30,0
76,72,31,0
76,72,32,0
76,71,8,0.203
76,71,9,0.119
76,71,10,0.081
76,71,11,0.059
76,71,12,0.044
76,71,13,0.024
76,71,14,0.018
76,71,15,0.007
76,71,16,0.007
76,71,17,0.004
76,71,18,0.002
76,71,19,0.002
76,71,20,0.001
76,71,21,0
76,71,22,0.001
76,71,23,0.001
76,71,24,0
76,71,25,0
76,71,26,0
76,71,27,0
76,71,28,0
76,71,29,0
76,71,30,0
76,71,31,0
76,71,32,0
76,70,8,0.505
76,70,9,0.398
76,70,10,0.339
76,70,11,0.253
76,70,12,0.2
76,70,13,0.162
76,70,14,0.098
76,70,15,0.076
76,70,16,0.077
76,70,17,0.044
76,70,18,0.032
76,70,19,0.018
76,70,20,0.019
76,70,21,0.01
76,70,22,0.003
76,70,23,0.004
76,70,24,0.005
76,70,25,0.003
76,70,26,0
76,70,27,0.002
76,70,28,0
76,70,29,0.001
76,70,30,0
76,70,31,0.001
76,70,32,0
76,69,8,0.204
76,69,9,0.11
76,69,10,0.087
76,69,11,0.049
76,69,12,0.036
76,69,13,0.02
76,69,14,0.01
76,69,15,0.007
76,69,16,0.007
76,69,17,0.005
76,69,18,0.001
76,69,19,0.003
76,69,20,0
76,69,21,0
76,69,22,0.001
76,69,23,0.001
76,69,24,0
76,69,25,0
76,69,26,0
76,69,27,0
76,69,28,0
76,69,29,0
76,69,30,0
76,69,31,0
76,69,32,0
76,68,8,0.516
76,68,9,0.392
76,68,10,0.317
76,68,11,0.229
76,68,12,0.178
76,68,13,0.134
76,68,14,0.101
76,68,15,0.082
76,68,16,0.048
76,68,17,0.043
76,68,18,0.037
76,68,19,0.018
76,68,20,0.016
76,68,21,0.014
76,68,22,0.007
76,68,23,0.003
76,68,24,0.001
76,68,25,0.003
76,68,26,0
76,68,27,0.001
76,68,28,0.001
76,68,29,0
76,68,30,0
76,68,31,0
76,68,32,0
76,67,8,0.236
76,67,9,0.175
76,67,10,0.116
76,67,11,0.093
76,67,12,0.06
76,67,13,0.038
76,67,14,0.023
76,67,15,0.022
76,67,16,0.019
76,67,17,0.01
76,67,18,0.004
76,67,19,0.005
76,67,20,0.001
76,67,21,0
76,67,22,0
76,67,23,0
76,67,24,0
76,67,25,0
76,67,26,0
76,67,27,0
76,67,28,0
76,67,29,0
76,67,30,0
76,67,31,0
76,67,32,0
76,66,8,0.493
76,66,9,0.396
76,66,10,0.301
76,66,11,0.223
76,66,12,0.169
76,66,13,0.136
76,66,14,0.084
76,66,15,0.068
