lenX,lenY,bits,proba
70,69,8,0.164
70,69,9,0.106
70,69,10,0.063
70,69,11,0.047
70,69,12,0.029
70,69,13,0.017
70,69,14,0.012
70,69,15,0.008
70,69,16,0.003
70,69,17,0.001
70,69,18,0.001
70,69,19,0.001
70,69,20,0.0
70,69,21,0.0
70,69,22,0.0
70,69,23,0.0
70,69,24,0.0
70,69,25,0.0
70,69,26,0.0
70,69,27,0.0
70,69,28,0.0
70,69,29,0.0
70,69,30,0.0
70,69,31,0.0
70,69,32,0.0
70,68,8,0.307
70,68,9,0.205
70,68,10,0.154
70,68,11,0.101
70,68,12,0.086
70,68,13,0.044
70,68,14,0.036
70,68,15,0.019
70,68,16,0.012
70,68,17,0.006
70,68,18,0.006
70,68,19,0.003
70,68,20,0.003
70,68,21,0.003
70,68,22,0.002
70,68,23,0.001
70,68,24,0.0
70,68,25,0.0
70,68,26,0.001
70,68,27,0.0
70,68,28,0.001
70,68,29,0.0
70,68,30,0.0
70,68,31,0.0
70,68,32,0.0
70,67,8,0.207
70,67,9,0.156
70,67,10,0.086
70,67,11,0.055
70,67,12,0.038
70,67,13,0.031
70,67,14,0.03
70,67,15,0.005
70,67,16,0.008
70,67,17,0.004
70,67,18,0.008
70,67,19,0.002
70,67,20,0.001
70,67,21,0.002
70,67,22,0.001
70,67,23,0.0
70,67,24,0.0
70,67,25,0.001
70,67,26,0.0
70,67,27,0.0
70,67,28,0.0
70,67,29,0.0
70,67,30,0.0
70,67,31,0.0
70,67,32,0.0
70,66,8,0.429
70,66,9,0.349
70,66,10,0.262
70,66,11,0.192
70,66,12,0.139
70,66,13,0.102
70,66,14,0.07
70,66,15,0.055
70,66,16,0.039
70,66,17,0.031
70,66,18,0.024
70,66,19,0.012
70,66,20,0.004
70,66,21,0.002
70,66,22,0.003
70,66,23,0.003
70,66,24,0.002
70,66,25,0.003
70,66,26,0.002
70,66,27,0.0
70,66,28,0.0
70,66,29,0.0
70,66,30,0.0
70,66,31,0.0
70,66,32,0.0
70,65,8,0.163
70,65,9,0.092
70,65,10,0.075
70,65,11,0.038
70,65,12,0.039
70,65,13,0.022
70,65,14,0.011
70,65,15,0.004
70,65,16,0.005
70,65,17,0.001
70,65,18,0.002
70,65,19,0.0
70,65,20,0.0
70,65,21,0.0
70,65,22,0.0
70,65,23,0.0
70,65,24,0.0
70,65,25,0.0
70,65,26,0.0
70,65,27,0.0
70,65,28,0.0
70,65,29,0.0
70,65,30,0.0
70,65,31,0.0
70,65,32,0.0
70,64,8,0.492
70,64,9,0.405
70,64,10,0.328
70,64,11,0.246
70,64,12,0.191
70,64,13,0.152
70,64,14,0.109
70,64,15,0.091
70,64,16,0.051
70,64,17,0.052
70,64,18,0.036
70,64,19,0.015
70,64,20,0.016
70,64,21,0.009
70,64,22,0.006
70,64,23,0.002
70,64,24,0.003
70,64,25,0.003
70,64,26,0.001
70,64,27,0.0
70,64,28,0.001
70,64,29,0.001
70,64,30,0.0
70,64,31,0.0
70,64,32,0.0
70,63,8,0.163
70,63,9,0.087
70,63,10,0.059
70,63,11,0.047
70,63,12,0.029
70,63,13,0.021
70,63,14,0.012
70,63,15,0.011
70,63,16,0.005
70,63,17,0.003
70,63,18,0.002
70,63,19,0.001
70,63,20,0.003
70,63,21,0.0
70,63,22,0.0
70,63,23,0.0
70,63,24,0.0
70,63,25,0.0
70,63,26,0.0
70,63,27,0.0
70,63,28,0.0
70,63,29,0.0
70,63,30,0.0
70,63,31,0.0
70,63,32,0.0
70,62,8,0.456
70,62,9,0.351
70,62,10,0.293
70,62,11,0.22
70,62,12,0.184
70,62,13,0.137
70,62,14,0.088
70,62,15,0.063
70,62,16,0.041
70,62,17,0.034
70,62,18,0.018
70,62,19,0.018
70,62,20,0.02
70,62,21,0.009
70,62,22,0.002
70,62,23,0.01
70,62,24,0.002
70,62,25,0.003
70,62,26,0.001
70,62,27,0.0
70,62,28,0.0
70,62,29,0.0
70,62,30,0.001
70,62,31,0.0
70,62,32,0.0
70,61,8,0.208
70,61,9,0.167
70,61,10,0.1
70,61,11,0.088
70,61,12,0.041
70,61,13,0.024
70,61,14,0.023
70,61,15,0.014
70,61,16,0.011
70,61,17,0.005
70,61,18,0.005
70,61,19,0.001
70,61,20,0.007
70,61,21,0.001
70,61,22,0.001
70,61,23,0.0
70,61,24,0.0
70,61,25,0.0
70,61,26,0.0
70,61,27,0.0
70,61,28,0.0
70,61,29,0.0
70,61,30,0.0
70,61,31,0.0
70,61,32,0.0
70,60,8,0.356
70,60,9,0.29
70,60,10,0.213
70,60,11,0.156
70,60,12,0.116
70,60,13,0.095
70,60,14,0.066
70,60,15,0.041
70,60,16,0.037
70,60,17,0.024
70,60,18,0.015
70,60,19,0.016
70,60,20,0.004
70,60,21,0.006
70,60,22,0.0
70,60,23,0.002
70,60,24,0.0
70,60,25,0.0
70,60,26,0.0
70,60,27,0.0
70,60,28,0.002
70,60,29,0.0
70,60,30,0.001
70,60,31,0.0
70,60,32,0.0
70,59,8,0.202
70,59,9,0.117
70,59,10,0.099
70,59,11,0.061
70,59,12,0.039
70,59,13,0.021
70,59,14,0.021
70,59,15,0.006
70,59,16,0.003
70,59,17,0.003
70,59,18,0.005
70,59,19,0.005
70,59,20,0.002
70,59,21,0.0
70,59,22,0.0
70,59,23,0.0
70,59,24,0.0
70,59,25,0.0
70,59,26,0.0
70,59,27,0.0
70,59,28,0.0
70,59,29,0.0
70,59,30,0.0
70,59,31,0.0
70,59,32,0.0
70,58,8,0.7
70,58,9,0.583
70,58,10,0.514
70,58,11,0.408
70,58,12,0.358
70,58,13,0.278
70,58,14,0.233
70,58,15,0.193
70,58,16,0.163
70,58,17,0.116
70,58,18,0.094
70,58,19,0.08
70,58,20,0.064
70,58,21,0.038
70,58,22,0.028
70,58,23,0.02
70,58,24,0.031
70,58,25,0.022
70,58,26,0.009
70,58,27,0.007
70,58,28,0.006
70,58,29,0.003
70,58,30,0.0
70,58,31,0.001
70,58,32,0.0
70,57,8,0.185
70,57,9,0.102
70,57,10,0.072
70,57,11,0.041
70,57,12,0.034
70,57,13,0.018
70,57,14,0.007
70,57,15,0.009
70,57,16,0.0
70,57,17,0.002
70,57,18,0.0
70,57,19,0.0
70,57,20,0.0
70,57,21,0.0
70,57,22,0.0
70,57,23,0.0
70,57,24,0.0
70,57,25,0.001
70,57,26,0.0
70,57,27,0.0
70,57,28,0.0
70,57,29,0.0
70,57,30,0.0
70,57,31,0.0
70,57,32,0.0
70,56,8,0.291
70,56,9,0.218
70,56,10,0.158
70,56,11,0.101
70,56,12,0.064
70,56,13,0.053
70,56,14,0.044
70,56,15,0.021
70,56,16,0.013
70,56,17,0.007
70,56,18,0.011
70,56,19,0.005
70,56,20,0.004
70,56,21,0.004
70,56,22,0.004
70,56,23,0.002
70,56,24,0.001
70,56,25,0.002
70,56,26,0.0
70,56,27,0.0
70,56,28,0.0
70,56,29,0.0
70,56,30,0.0
70,56,31,0.0
70,56,32,0.0
70,55,8,0.177
70,55,9,0.139
70,55,10,0.104
70,55,11,0.069
70,55,12,0.044
70,55,13,0.033
70,55,14,0.024
70,55,15,0.011
70,55,16,0.011
70,55,17,0.007
70,55,18,0.002
70,55,19,0.002
70,55,20,0.002
70,55,21,0.0
