lenX,lenY,bits,proba
6,6,8,0.0
6,6,9,0.0
6,6,10,0.0
6,6,11,0.0
6,6,12,0.0
6,6,13,0.0
6,6,14,0.0
6,6,15,0.0
6,6,16,0.0
6,6,17,0.0
6,6,18,0.0
6,6,19,0.0
6,6,20,0.0
6,6,21,0.0
6,6,22,0.0
6,6,23,0.0
6,6,24,0.0
6,6,25,0.0
6,6,26,0.0
6,6,27,0.0
6,6,28,0.0
6,6,29,0.0
6,6,30,0.0
6,6,31,0.0
6,6,32,0.0
6,7,8,0.01
6,7,9,0.0
6,7,10,0.0
6,7,11,0.0
6,7,12,0.0
6,7,13,0.0
6,7,14,0.0
6,7,15,0.0
6,7,16,0.0
6,7,17,0.0
6,7,18,0.0
6,7,19,0.0
6,7,20,0.0
6,7,21,0.0
6,7,22,0.0
6,7,23,0.0
6,7,24,0.0
6,7,25,0.0
6,7,26,0.0
6,7,27,0.0
6,7,28,0.0
6,7,29,0.0
6,7,30,0.0
6,7,31,0.0
6,7,32,0.0
6,8,8,0.0
6,8,9,0.0
6,8,10,0.0
6,8,11,0.0
6,8,12,0.0
6,8,13,0.0
6,8,14,0.001
6,8,15,0.0
6,8,16,0.0
6,8,17,0.0
6,8,18,0.0
6,8,19,0.0
6,8,20,0.0
6,8,21,0.0
6,8,22,0.0
6,8,23,0.0
6,8,24,0.0
6,8,25,0.0
6,8,26,0.0
6,8,27,0.0
6,8,28,0.0
6,8,29,0.0
6,8,30,0.0
6,8,31,0.0
6,8,32,0.0
6,9,8,0.0
6,9,9,0.0
6,9,10,0.0
6,9,11,0.0
6,9,12,0.001
6,9,13,0.0
6,9,14,0.0
6,9,15,0.0
6,9,16,0.0
6,9,17,0.0
6,9,18,0.0
6,9,19,0.0
6,9,20,0.0
6,9,21,0.0
6,9,22,0.0
6,9,23,0.0
6,9,24,0.0
6,9,25,0.0
6,9,26,0.0
6,9,27,0.0
6,9,28,0.0
6,9,29,0.0
6,9,30,0.0
6,9,31,0.0
6,9,32,0.0
6,10,8,0.018
6,10,9,0.0
6,10,10,0.0
6,10,11,0.001
6,10,12,0.0
6,10,13,0.0
6,10,14,0.0
6,10,15,0.0
6,10,16,0.0
6,10,17,0.0
6,10,18,0.0
6,10,19,0.0
6,10,20,0.0
6,10,21,0.0
6,10,22,0.0
6,10,23,0.0
6,10,24,0.0
6,10,25,0.0
6,10,26,0.0
6,10,27,0.0
6,10,28,0.0
6,10,29,0.0
6,10,30,0.0
6,10,31,0.0
6,10,32,0.0
6,11,8,0.0
6,11,9,0.0
6,11,10,0.0
6,11,11,0.0
6,11,12,0.0
6,11,13,0.0
6,11,14,0.0
6,11,15,0.0
6,11,16,0.0
6,11,17,0.0
6,11,18,0.0
6,11,19,0.0
6,11,20,0.0
6,11,21,0.0
6,11,22,0.0
6,11,23,0.0
6,11,24,0.0
6,11,25,0.0
6,11,26,0.0
6,11,27,0.0
6,11,28,0.0
6,11,29,0.0
6,11,30,0.0
6,11,31,0.0
6,11,32,0.0
6,12,8,0.0
6,12,9,0.0
6,12,10,0.0
6,12,11,0.0
6,12,12,0.0
6,12,13,0.0
6,12,14,0.0
6,12,15,0.0
6,12,16,0.0
6,12,17,0.0
6,12,18,0.0
6,12,19,0.0
6,12,20,0.0
6,12,21,0.0
6,12,22,0.0
6,12,23,0.0
6,12,24,0.0
6,12,25,0.0
6,12,26,0.0
6,12,27,0.0
6,12,28,0.0
6,12,29,0.0
6,12,30,0.0
6,12,31,0.0
6,12,32,0.0
6,13,8,0.0
6,13,9,0.0
6,13,10,0.0
6,13,11,0.0
6,13,12,0.0
6,13,13,0.0
6,13,14,0.0
6,13,15,0.0
6,13,16,0.0
6,13,17,0.0
6,13,18,0.0
6,13,19,0.0
6,13,20,0.0
6,13,21,0.0
6,13,22,0.0
6,13,23,0.0
6,13,24,0.0
6,13,25,0.0
6,13,26,0.0
6,13,27,0.0
6,13,28,0.0
6,13,29,0.0
6,13,30,0.0
6,13,31,0.0
6,13,32,0.0
6,14,8,0.0
6,14,9,0.0
6,14,10,0.001
6,14,11,0.0
6,14,12,0.0
6,14,13,0.0
6,14,14,0.0
6,14,15,0.0
6,14,16,0.0
6,14,17,0.0
6,14,18,0.0
6,14,19,0.0
6,14,20,0.0
6,14,21,0.0
6,14,22,0.0
6,14,23,0.0
6,14,24,0.0
6,14,25,0.0
6,14,26,0.0
6,14,27,0.0
6,14,28,0.0
6,14,29,0.0
6,14,30,0.0
6,14,31,0.0
6,14,32,0.0
6,15,8,0.0
6,15,9,0.0
6,15,10,0.0
6,15,11,0.0
6,15,12,0.001
6,15,13,0.0
6,15,14,0.0
6,15,15,0.0
6,15,16,0.001
6,15,17,0.0
6,15,18,0.0
6,15,19,0.0
6,15,20,0.0
6,15,21,0.0
6,15,22,0.0
6,15,23,0.0
6,15,24,0.0
6,15,25,0.0
6,15,26,0.0
6,15,27,0.0
6,15,28,0.0
6,15,29,0.0
6,15,30,0.0
6,15,31,0.0
6,15,32,0.0
6,16,8,0.0
6,16,9,0.004
6,16,10,0.0
6,16,11,0.0
6,16,12,0.001
6,16,13,0.0
6,16,14,0.0
6,16,15,0.0
6,16,16,0.0
6,16,17,0.0
6,16,18,0.0
6,16,19,0.0
6,16,20,0.0
6,16,21,0.0
6,16,22,0.0
6,16,23,0.0
6,16,24,0.0
6,16,25,0.0
6,16,26,0.0
6,16,27,0.0
6,16,28,0.0
6,16,29,0.0
6,16,30,0.0
6,16,31,0.0
6,16,32,0.0
6,17,8,0.0
6,17,9,0.0
6,17,10,0.0
6,17,11,0.0
6,17,12,0.0
6,17,13,0.0
6,17,14,0.0
6,17,15,0.0
6,17,16,0.0
6,17,17,0.0
6,17,18,0.0
6,17,19,0.0
6,17,20,0.0
6,17,21,0.0
6,17,22,0.0
6,17,23,0.0
6,17,24,0.0
6,17,25,0.0
6,17,26,0.0
6,17,27,0.0
6,17,28,0.0
6,17,29,0.0
6,17,30,0.0
6,17,31,0.0
6,17,32,0.0
6,18,8,0.0
6,18,9,0.0
6,18,10,0.002
6,18,11,0.0
6,18,12,0.0
6,18,13,0.0
6,18,14,0.0
6,18,15,0.0
6,18,16,0.0
6,18,17,0.0
6,18,18,0.0
6,18,19,0.0
6,18,20,0.0
6,18,21,0.0
6,18,22,0.0
6,18,23,0.0
6,18,24,0.0
6,18,25,0.0
6,18,26,0.0
6,18,27,0.0
6,18,28,0.0
6,18,29,0.0
6,18,30,0.0
6,18,31,0.0
6,18,32,0.0
6,19,8,0.011
6,19,9,0.0
6,19,10,0.0
6,19,11,0.003
6,19,12,0.0
6,19,13,0.0
6,19,14,0.0
6,19,15,0.0
6,19,16,0.0
6,19,17,0.0
6,19,18,0.0
6,19,19,0.0
6,19,20,0.0
6,19,21,0.0
6,19,22,0.0
6,19,23,0.0
6,19,24,0.0
6,19,25,0.0
6,19,26,0.0
6,19,27,0.0
6,19,28,0.0
6,19,29,0.0
6,19,30,0.0
6,19,31,0.0
6,19,32,0.0
6,20,8,0.0
6,20,9,0.0
6,20,10,0.004
6,20,11,0.0
6,20,12,0.0
6,20,13,0.0
6,20,14,0.0
6,20,15,0.0
6,20,16,0.0
6,20,17,0.0
6,20,18,0.0
6,20,19,0.0
6,20,20,0.0
6,20,21,0.0
6,20,22,0.0
6,20,23,0.0
6,20,24,0.0
6,20,25,0.0
6,20,26,0.0
6,20,27,0.0
6,20,28,0.0
6,20,29,0.0
6,20,30,0.0
6,20,31,0.0
6,20,32,0.0
6,21,8,0.0
6,21,9,0.0
6,21,10,0.0
6,21,11,0.0
6,21,12,0.0
6,21,13,0.0
6,21,14,0.0
6,21,15,0.0
6,21,16,0.0
6,21,17,0.0
6,21,18,0.0
6,21,19,0.0
6,21,20,0.0
6,21,21,0.0
6,21,22,0.0
6,21,23,0.0
6,21,24,0.0
6,21,25,0.0
6,21,26,0.0
6,21,27,0.0
6,21,28,0.0
6,21,29,0.0
6,21,30,0.0
6,21,31,0.0
6,21,32,0.0
6,22,8,0.0
6,22,9,0.0
6,22,10,0.0
6,22,11,0.0
6,22,12,0.0
6,22,13,0.0
6,22,14,0.0
6,22,15,0.0
6,22,16,0.0
6,22,17,0.0
6,22,18,0.0
6,22,19,0.0
6,22,20,0.0
6,22,21,0.0
6,22,22,0.0
6,22,23,0.0
6,22,24,0.0
6,22,25,0.0
6,22,26,0.0
6,22,27,0.0
6,22,28,0.0
6,22,29,0.0
6,22,30,0.0
6,22,31,0.0
6,22,32,0.0
6,23,8,0.0
6,23,9,0.0
6,23,10,0.0
6,23,11,0.0
6,23,12,0.0
6,23,13,0.0
6,23,14,0.0
6,23,15,0.0
6,23,16,0.0
6,23,17,0.0
6,23,18,0.0
6,23,19,0.0
6,23,20,0.0
6,23,21,0.0
6,23,22,0.0
6,23,23,0.0
6,23,24,0.0
6,23,25,0.0
6,23,26,0.0
6,23,27,0.0
6,23,28,0.0
6,23,29,0.0
6,23,30,0.0
6,23,31,0.0
6,23,32,0.0
6,24,8,0.0
6,24,9,0.0
6,24,10,0.0
6,24,11,0.0
6,24,12,0.0
6,24,13,0.0
6,24,14,0.0
6,24,15,0.0
6,24,16,0.0
6,24,17,0.0
6,24,18,0.0
6,24,19,0.0
6,24,20,0.0
6,24,21,0.0
6,24,22,0.0
6,24,23,0.0
6,24,24,0.0
6,24,25,0.0
6,24,26,0.0
6,24,27,0.0
6,24,28,0.0
6,24,29,0.0
6,24,30,0.0
6,24,31,0.0
6,24,32,0.0
6,25,8,0.0
6,25,9,0.0
6,25,10,0.0
6,25,11,0.0
6,25,12,0.0
6,25,13,0.0
6,25,14,0.0
6,25,15,0.0
6,25,16,0.0
6,25,17,0.0
6,25,18,0.0
6,25,19,0.0
6,25,20,0.0
6,25,21,0.0
6,25,22,0.0
6,25,23,0.0
6,25,24,0.0
6,25,25,0.0
6,25,26,0.0
6,25,27,0.0
6,25,28,0.0
6,25,29,0.0
6,25,30,0.0
6,25,31,0.0
6,25,32,0.0
6,26,8,0.0
6,26,9,0.0
6,26,10,0.001
6,26,11,0.0
6,26,12,0.0
6,26,13,0.0
6,26,14,0.0
6,26,15,0.0
6,26,16,0.0
6,26,17,0.0
6,26,18,0.0
6,26,19,0.0
6,26,20,0.0
6,26,21,0.0
6,26,22,0.0
6,26,23,0.0
6,26,24,0.0
6,26,25,0.0
6,26,26,0.0
6,26,27,0.0
6,26,28,0.0
6,26,29,0.0
6,26,30,0.0
6,26,31,0.0
6,26,32,0.0
6,27,8,0.0
6,27,9,0.0
6,27,10,0.0
6,27,11,0.0
6,27,12,0.0
6,27,13,0.0
6,27,14,0.0
6,27,15,0.0
6,27,16,0.0
6,27,17,0.0
6,27,18,0.0
6,27,19,0.0
6,27,20,0.0
6,27,21,0.0
6,27,22,0.0
6,27,23,0.0
6,27,24,0.0
6,27,25,0.0
6,27,26,0.0
6,27,27,0.0
6,27,28,0.0
6,27,29,0.0
6,27,30,0.0
6,27,31,0.0
6,27,32,0.0
6,28,8,0.0
6,28,9,0.0
6,28,10,0.0
6,28,11,0.0
6,28,12,0.0
6,28,13,0.0
6,28,14,0.0
6,28,15,0.0
6,28,16,0.0
6,28,17,0.0
6,28,18,0.0
6,28,19,0.0
6,28,20,0.0
6,28,21,0.0
6,28,22,0.0
6,28,23,0.0
6,28,24,0.0
6,28,25,0.0
6,28,26,0.0
6,28,27,0.0
6,28,28,0.0
6,28,29,0.0
6,28,30,0.0
6,28,31,0.0
6,28,32,0.0
6,29,8,0.0
6,29,9,0.0
6,29,10,0.0
6,29,11,0.001
