num,bits,divisors
2,1,1
2,2,0.5
6,1,1
6,2,1
6,3,0.25
12,1,1
12,2,1
12,3,0.5
12,4,0.125
60,1,1
60,2,1
60,3,0.75
60,4,0.375
60,5,0.125
60,6,0.03125
120,1,1
120,2,1
120,3,0.75
120,4,0.5
120,5,0.1875
120,6,0.0625
120,7,0.015625
360,1,1
360,2,1
360,3,0.75
360,4,0.625
360,5,0.25
360,6,0.125
360,7,0.046875
360,8,0.0078125
360,9,0.00390625
2520,1,1
2520,2,1
2520,3,1
2520,4,0.75
2520,5,0.375
2520,6,0.25
2520,7,0.109375
2520,8,0.0390625
2520,9,0.01953125
2520,10,0.00390625
2520,11,0.000976563
2520,12,0.000488281
5040,1,1
5040,2,1
5040,3,1
5040,4,0.75
5040,5,0.4375
5040,6,0.28125
5040,7,0.140625
5040,8,0.0546875
5040,9,0.0234375
5040,10,0.009765625
5040,11,0.001953125
5040,12,0.000488281
5040,13,0.000244141
55440,1,1
55440,2,1
55440,3,1
55440,4,0.875
55440,5,0.5
55440,6,0.375
55440,7,0.21875
55440,8,0.109375
55440,9,0.0546875
55440,10,0.02734375
55440,11,0.009765625
55440,12,0.00390625
55440,13,0.001464844
55440,14,0.000366211
55440,15,0.00012207
55440,16,3.05E-05
720720,1,1
720720,2,1
720720,3,1
720720,4,1
720720,5,0.5625
720720,6,0.4375
720720,7,0.296875
720720,8,0.1640625
720720,9,0.08984375
720720,10,0.052734375
720720,11,0.0234375
720720,12,0.010742188
720720,13,0.004882813
720720,14,0.001953125
720720,15,0.000671387
720720,16,0.000274658
720720,17,7.63E-05
720720,18,2.29E-05
720720,19,3.81E-06
720720,20,1.91E-06
1441440,1,1
1441440,2,1
1441440,3,1
1441440,4,1
1441440,5,0.5625
1441440,6,0.46875
1441440,7,0.3125
1441440,8,0.1796875
1441440,9,0.10546875
1441440,10,0.0546875
1441440,11,0.029296875
1441440,12,0.013671875
1441440,13,0.005859375
1441440,14,0.002685547
1441440,15,0.000976563
1441440,16,0.000366211
1441440,17,0.000137329
1441440,18,3.81E-05
1441440,19,1.14E-05
1441440,20,1.91E-06
1441440,21,9.54E-07
4324320,1,1
4324320,2,1
4324320,3,1
4324320,4,1
4324320,5,0.625
4324320,6,0.5
4324320,7,0.328125
4324320,8,0.203125
4324320,9,0.125
4324320,10,0.06640625
4324320,11,0.036132813
4324320,12,0.018554688
4324320,13,0.008300781
4324320,14,0.00390625
4324320,15,0.001586914
4324320,16,0.000640869
4324320,17,0.000244141
4324320,18,7.63E-05
4324320,19,3.05E-05
4324320,20,7.63E-06
4324320,21,1.91E-06
4324320,22,4.77E-07
4324320,23,2.38E-07
21621600,1,1
21621600,2,1
21621600,3,1
21621600,4,1
21621600,5,0.6875
21621600,6,0.53125
21621600,7,0.359375
21621600,8,0.234375
21621600,9,0.1484375
21621600,10,0.0859375
21621600,11,0.046875
21621600,12,0.025878906
21621600,13,0.012695313
21621600,14,0.006103516
21621600,15,0.002807617
21621600,16,0.001190186
21621600,17,0.000518799
21621600,18,0.000190735
21621600,19,7.25E-05
21621600,20,2.67E-05
21621600,21,7.63E-06
21621600,22,2.38E-06
21621600,23,7.15E-07
21621600,24,1.19E-07
21621600,25,5.96E-08
367567200,1,1
367567200,2,1
367567200,3,1
367567200,4,1
367567200,5,0.75
367567200,6,0.59375
367567200,7,0.421875
367567200,8,0.296875
367567200,9,0.19140625
367567200,10,0.1171875
367567200,11,0.069335938
367567200,12,0.040527344
367567200,13,0.021728516
367567200,14,0.011230469
367567200,15,0.005737305
367567200,16,0.0027771
367567200,17,0.001312256
367567200,18,0.000572205
367567200,19,0.000247955
367567200,20,0.000104904
367567200,21,4.01E-05
367567200,22,1.53E-05
367567200,23,5.25E-06
367567200,24,1.79E-06
367567200,25,5.96E-07
367567200,26,1.49E-07
367567200,27,4.47E-08
367567200,28,7.45E-09
367567200,29,3.73E-09
6983776800,1,1
6983776800,2,1
6983776800,3,1
6983776800,4,1
6983776800,5,0.8125
6983776800,6,0.65625
6983776800,7,0.46875
6983776800,8,0.3515625
6983776800,9,0.234375
6983776800,10,0.150390625
6983776800,11,0.09375
6983776800,12,0.057128906
6983776800,13,0.033203125
6983776800,14,0.018188477
6983776800,15,0.009887695
6983776800,16,0.005187988
6983776800,17,0.002655029
6983776800,18,0.001274109
6983776800,19,0.000606537
6983776800,20,0.00028038
