lenX,lenY,bits,proba
3,6,8,0.0
3,6,9,0.0
3,6,10,0.0
3,6,11,0.0
3,6,12,0.0
3,6,13,0.0
3,6,14,0.0
3,6,15,0.0
3,6,16,0.0
3,6,17,0.0
3,6,18,0.0
3,6,19,0.0
3,6,20,0.0
3,6,21,0.0
3,6,22,0.0
3,6,23,0.0
3,6,24,0.0
3,6,25,0.0
3,6,26,0.0
3,6,27,0.0
3,6,28,0.0
3,6,29,0.0
3,6,30,0.0
3,6,31,0.0
3,6,32,0.0
3,7,8,0.01
3,7,9,0.0
3,7,10,0.004
3,7,11,0.0
3,7,12,0.0
3,7,13,0.0
3,7,14,0.0
3,7,15,0.0
3,7,16,0.0
3,7,17,0.0
3,7,18,0.0
3,7,19,0.0
3,7,20,0.0
3,7,21,0.0
3,7,22,0.0
3,7,23,0.0
3,7,24,0.0
3,7,25,0.0
3,7,26,0.0
3,7,27,0.0
3,7,28,0.0
3,7,29,0.0
3,7,30,0.0
3,7,31,0.0
3,7,32,0.0
3,8,8,0.023
3,8,9,0.01
3,8,10,0.01
3,8,11,0.004
3,8,12,0.0
3,8,13,0.0
3,8,14,0.0
3,8,15,0.0
3,8,16,0.0
3,8,17,0.0
3,8,18,0.0
3,8,19,0.0
3,8,20,0.0
3,8,21,0.0
3,8,22,0.0
3,8,23,0.0
3,8,24,0.0
3,8,25,0.0
3,8,26,0.0
3,8,27,0.0
3,8,28,0.0
3,8,29,0.0
3,8,30,0.0
3,8,31,0.0
3,8,32,0.0
3,9,8,0.009
3,9,9,0.0
3,9,10,0.002
3,9,11,0.0
3,9,12,0.0
3,9,13,0.0
3,9,14,0.0
3,9,15,0.0
3,9,16,0.0
3,9,17,0.0
3,9,18,0.0
3,9,19,0.0
3,9,20,0.0
3,9,21,0.0
3,9,22,0.0
3,9,23,0.0
3,9,24,0.0
3,9,25,0.0
3,9,26,0.0
3,9,27,0.0
3,9,28,0.0
3,9,29,0.0
3,9,30,0.0
3,9,31,0.0
3,9,32,0.0
3,10,8,0.007
3,10,9,0.0
3,10,10,0.005
3,10,11,0.002
3,10,12,0.0
3,10,13,0.0
3,10,14,0.0
3,10,15,0.0
3,10,16,0.001
3,10,17,0.0
3,10,18,0.0
3,10,19,0.0
3,10,20,0.0
3,10,21,0.0
