lenX,lenY,bits,proba
101,100,8,0.135
101,100,9,0.098
101,100,10,0.067
101,100,11,0.036
101,100,12,0.025
101,100,13,0.017
101,100,14,0.009
101,100,15,0.005
101,100,16,0.004
101,100,17,0.006
101,100,18,0.004
101,100,19,0.0
101,100,20,0.001
101,100,21,0.0
101,100,22,0.0
101,100,23,0.0
101,100,24,0.0
101,100,25,0.0
101,100,26,0.0
101,100,27,0.0
101,100,28,0.0
101,100,29,0.0
101,100,30,0.0
101,100,31,0.0
101,100,32,0.0
101,99,8,0.384
101,99,9,0.302
101,99,10,0.212
101,99,11,0.166
101,99,12,0.113
101,99,13,0.084
101,99,14,0.045
101,99,15,0.052
101,99,16,0.027
101,99,17,0.023
101,99,18,0.007
101,99,19,0.013
101,99,20,0.002
101,99,21,0.004
101,99,22,0.004
101,99,23,0.003
101,99,24,0.0
101,99,25,0.0
101,99,26,0.0
101,99,27,0.001
101,99,28,0.0
101,99,29,0.0
101,99,30,0.0
101,99,31,0.0
101,99,32,0.0
101,98,8,0.192
101,98,9,0.147
101,98,10,0.107
101,98,11,0.071
101,98,12,0.052
101,98,13,0.033
101,98,14,0.027
101,98,15,0.012
101,98,16,0.016
101,98,17,0.001
101,98,18,0.004
101,98,19,0.003
101,98,20,0.001
101,98,21,0.002
101,98,22,0.0
101,98,23,0.0
101,98,24,0.0
101,98,25,0.0
101,98,26,0.0
101,98,27,0.0
101,98,28,0.0
101,98,29,0.0
101,98,30,0.0
101,98,31,0.0
101,98,32,0.0
101,97,8,0.554
101,97,9,0.422
101,97,10,0.341
101,97,11,0.265
101,97,12,0.192
101,97,13,0.135
101,97,14,0.119
101,97,15,0.098
101,97,16,0.053
101,97,17,0.041
101,97,18,0.031
101,97,19,0.022
101,97,20,0.017
101,97,21,0.013
101,97,22,0.007
101,97,23,0.005
101,97,24,0.002
101,97,25,0.002
101,97,26,0.004
101,97,27,0.0
101,97,28,0.001
101,97,29,0.0
101,97,30,0.0
101,97,31,0.0
101,97,32,0.0
101,96,8,0.154
101,96,9,0.107
101,96,10,0.085
101,96,11,0.049
101,96,12,0.03
101,96,13,0.027
101,96,14,0.009
101,96,15,0.01
101,96,16,0.005
101,96,17,0.002
101,96,18,0.004
101,96,19,0.002
101,96,20,0.002
101,96,21,0.001
101,96,22,0.0
101,96,23,0.0
101,96,24,0.0
101,96,25,0.0
101,96,26,0.0
101,96,27,0.0
101,96,28,0.0
101,96,29,0.0
101,96,30,0.0
101,96,31,0.0
101,96,32,0.0
101,95,8,0.522
101,95,9,0.413
101,95,10,0.336
101,95,11,0.259
101,95,12,0.192
101,95,13,0.155
101,95,14,0.096
101,95,15,0.085
101,95,16,0.064
101,95,17,0.039
