"lenX","lenY","bits","proba"
72,71,8,0.155
72,71,9,0.106
72,71,10,0.058
72,71,11,0.042
72,71,12,0.029
72,71,13,0.021
72,71,14,0.011
72,71,15,0.007
72,71,16,0.005
72,71,17,0.002
72,71,18,0
72,71,19,0.002
72,71,20,0
72,71,21,0.001
72,71,22,0
72,71,23,0
72,71,24,0
72,71,25,0
72,71,26,0
72,71,27,0
72,71,28,0
72,71,29,0
72,71,30,0
72,71,31,0
72,71,32,0
72,70,8,0.367
72,70,9,0.262
72,70,10,0.194
72,70,11,0.128
72,70,12,0.111
72,70,13,0.075
72,70,14,0.046
72,70,15,0.024
72,70,16,0.022
72,70,17,0.012
72,70,18,0.008
72,70,19,0.013
72,70,20,0.011
72,70,21,0.004
72,70,22,0.003
72,70,23,0.002
72,70,24,0
72,70,25,0.001
72,70,26,0
72,70,27,0
72,70,28,0
72,70,29,0
72,70,30,0
72,70,31,0
72,70,32,0
72,69,8,0.2
72,69,9,0.139
72,69,10,0.097
72,69,11,0.07
72,69,12,0.046
72,69,13,0.035
72,69,14,0.02
72,69,15,0.017
72,69,16,0.013
72,69,17,0.002
72,69,18,0.003
72,69,19,0.004
72,69,20,0.002
72,69,21,0
72,69,22,0
72,69,23,0
72,69,24,0
72,69,25,0
72,69,26,0
72,69,27,0
72,69,28,0
72,69,29,0
72,69,30,0
72,69,31,0
72,69,32,0
72,68,8,0.529
72,68,9,0.392
72,68,10,0.321
72,68,11,0.25
72,68,12,0.167
72,68,13,0.124
72,68,14,0.103
72,68,15,0.078
72,68,16,0.056
72,68,17,0.039
72,68,18,0.025
72,68,19,0.018
72,68,20,0.011
72,68,21,0.01
72,68,22,0.005
72,68,23,0.004
72,68,24,0.001
72,68,25,0.002
72,68,26,0
72,68,27,0
72,68,28,0.001
72,68,29,0.001
72,68,30,0
72,68,31,0
72,68,32,0
72,67,8,0.163
72,67,9,0.107
72,67,10,0.071
72,67,11,0.053
72,67,12,0.02
72,67,13,0.023
72,67,14,0.014
72,67,15,0.005
72,67,16,0.003
72,67,17,0.001
72,67,18,0.002
72,67,19,0.001
