"lenX","lenY","bits","proba"
73,72,8,0.006
73,72,9,0.01
73,72,10,0
73,72,11,0.004
73,72,12,0.002
73,72,13,0.001
73,72,14,0.002
73,72,15,0
73,72,16,0
73,72,17,0
73,72,18,0
73,72,19,0
73,72,20,0
73,72,21,0
73,72,22,0
73,72,23,0
73,72,24,0
73,72,25,0
73,72,26,0
73,72,27,0
73,72,28,0
73,72,29,0
73,72,30,0
73,72,31,0
73,72,32,0
73,71,8,0.06
73,71,9,0.047
73,71,10,0.021
73,71,11,0.015
73,71,12,0.008
73,71,13,0.008
73,71,14,0.001
73,71,15,0.003
73,71,16,0.001
73,71,17,0
73,71,18,0
73,71,19,0
73,71,20,0
73,71,21,0
73,71,22,0
73,71,23,0
73,71,24,0
73,71,25,0
73,71,26,0
73,71,27,0
73,71,28,0
73,71,29,0
73,71,30,0
73,71,31,0
73,71,32,0
73,70,8,0.058
73,70,9,0.011
73,70,10,0.02
73,70,11,0.001
73,70,12,0.003
73,70,13,0.005
73,70,14,0
73,70,15,0
73,70,16,0
73,70,17,0
73,70,18,0
73,70,19,0
73,70,20,0
73,70,21,0
73,70,22,0
73,70,23,0
73,70,24,0
73,70,25,0
73,70,26,0
73,70,27,0
73,70,28,0
73,70,29,0
73,70,30,0
73,70,31,0
73,70,32,0
73,69,8,0.069
73,69,9,0.058
73,69,10,0.026
73,69,11,0.018
73,69,12,0.017
73,69,13,0.006
73,69,14,0.005
73,69,15,0
73,69,16,0.001
73,69,17,0.001
73,69,18,0
73,69,19,0
73,69,20,0
73,69,21,0
73,69,22,0
73,69,23,0
73,69,24,0
73,69,25,0
73,69,26,0
73,69,27,0
73,69,28,0
73,69,29,0
73,69,30,0
73,69,31,0
73,69,32,0
73,68,8,0.018
73,68,9,0.02
73,68,10,0.012
73,68,11,0.004
73,68,12,0.002
73,68,13,0.004
73,68,14,0.001
73,68,15,0.001
73,68,16,0
73,68,17,0.002
73,68,18,0
73,68,19,0
73,68,20,0
73,68,21,0
73,68,22,0
73,68,23,0
73,68,24,0
73,68,25,0
73,68,26,0
73,68,27,0
73,68,28,0
73,68,29,0
73,68,30,0
73,68,31,0
73,68,32,0
73,67,8,0.161
73,67,9,0.081
73,67,10,0.054
73,67,11,0.034
73,67,12,0.026
73,67,13,0.013
73,67,14,0.01
73,67,15,0.008
73,67,16,0.003
73,67,17,0.003
73,67,18,0.001
73,67,19,0.001
73,67,20,0
73,67,21,0
73,67,22,0
73,67,23,0
73,67,24,0
73,67,25,0
73,67,26,0
73,67,27,0
73,67,28,0
73,67,29,0
73,67,30,0
73,67,31,0
73,67,32,0
73,66,8,0.028
73,66,9,0.017
73,66,10,0.012
73,66,11,0.003
73,66,12,0.003
73,66,13,0.002
73,66,14,0.003
73,66,15,0.002
73,66,16,0.001
73,66,17,0.001
73,66,18,0
73,66,19,0
73,66,20,0
73,66,21,0
73,66,22,0
73,66,23,0.001
73,66,24,0
73,66,25,0
73,66,26,0
73,66,27,0
73,66,28,0
73,66,29,0
73,66,30,0
73,66,31,0
73,66,32,0
73,65,8,0.11
73,65,9,0.052
73,65,10,0.044
73,65,11,0.023
73,65,12,0.016
73,65,13,0.013
73,65,14,0.003
73,65,15,0.007
73,65,16,0.002
73,65,17,0
73,65,18,0.001
73,65,19,0.002
73,65,20,0
73,65,21,0
73,65,22,0.001
73,65,23,0
73,65,24,0
73,65,25,0
73,65,26,0
73,65,27,0
73,65,28,0
73,65,29,0
73,65,30,0
73,65,31,0
73,65,32,0
73,64,8,0.025
73,64,9,0.028
73,64,10,0.006
73,64,11,0.004
73,64,12,0.002
73,64,13,0.002
73,64,14,0.001
73,64,15,0.001
73,64,16,0.001
73,64,17,0
73,64,18,0
73,64,19,0
73,64,20,0
73,64,21,0
73,64,22,0
73,64,23,0
73,64,24,0
73,64,25,0
73,64,26,0
73,64,27,0
73,64,28,0
73,64,29,0
73,64,30,0
73,64,31,0
73,64,32,0
73,63,8,0.077
73,63,9,0.047
73,63,10,0.025
73,63,11,0.02
73,63,12,0.009
73,63,13,0.008
73,63,14,0
73,63,15,0.003
73,63,16,0.001
73,63,17,0
73,63,18,0.001
73,63,19,0.001
73,63,20,0
73,63,21,0
73,63,22,0
73,63,23,0
73,63,24,0
73,63,25,0
73,63,26,0
73,63,27,0
73,63,28,0
73,63,29,0
73,63,30,0
73,63,31,0
73,63,32,0
73,62,8,0.053
73,62,9,0.007
73,62,10,0.012
73,62,11,0.009
73,62,12,0.005
73,62,13,0.003
73,62,14,0.004
73,62,15,0.003
73,62,16,0.001
73,62,17,0
73,62,18,0
73,62,19,0
73,62,20,0
73,62,21,0
73,62,22,0
73,62,23,0
73,62,24,0
73,62,25,0
73,62,26,0
73,62,27,0
73,62,28,0
73,62,29,0
73,62,30,0
73,62,31,0
73,62,32,0
73,61,8,0.347
73,61,9,0.252
73,61,10,0.197
73,61,11,0.144
73,61,12,0.093
73,61,13,0.062
73,61,14,0.043
73,61,15,0.043
73,61,16,0.021
73,61,17,0.014
73,61,18,0.003
73,61,19,0.002
73,61,20,0.005
73,61,21,0.002
73,61,22,0
73,61,23,0.001
73,61,24,0
73,61,25,0.001
73,61,26,0
73,61,27,0
73,61,28,0
73,61,29,0
73,61,30,0
73,61,31,0
73,61,32,0.001
73,60,8,0.024
73,60,9,0.034
73,60,10,0.005
73,60,11,0.014
73,60,12,0.004
73,60,13,0.005
73,60,14,0.004
73,60,15,0.001
73,60,16,0
73,60,17,0
73,60,18,0
73,60,19,0
73,60,20,0.001
73,60,21,0
73,60,22,0
73,60,23,0
73,60,24,0
73,60,25,0
73,60,26,0
73,60,27,0
73,60,28,0
73,60,29,0
73,60,30,0
73,60,31,0
73,60,32,0
73,59,8,0.029
73,59,9,0.045
73,59,10,0.03
73,59,11,0.018
73,59,12,0.015
73,59,13,0.005
73,59,14,0.005
73,59,15,0.006
73,59,16,0.001
73,59,17,0.002
73,59,18,0
73,59,19,0
73,59,20,0
73,59,21,0
73,59,22,0
73,59,23,0
73,59,24,0
73,59,25,0
73,59,26,0
73,59,27,0
73,59,28,0
73,59,29,0
73,59,30,0
73,59,31,0
73,59,32,0
73,58,8,0.057
73,58,9,0.006
73,58,10,0.019
73,58,11,0.006
73,58,12,0.006
73,58,13,0.001
73,58,14,0.003
73,58,15,0.002
73,58,16,0
73,58,17,0
73,58,18,0
73,58,19,0
73,58,20,0
73,58,21,0
73,58,22,0
73,58,23,0
73,58,24,0
73,58,25,0
73,58,26,0
73,58,27,0
73,58,28,0
73,58,29,0
73,58,30,0
73,58,31,0
73,58,32,0
73,57,8,0.084
73,57,9,0.061
73,57,10,0.044
73,57,11,0.026
73,57,12,0.021
73,57,13,0.012
73,57,14,0.009
73,57,15,0.005
73,57,16,0.003
73,57,17,0.003
73,57,18,0.001
73,57,19,0.002
73,57,20,0.001
73,57,21,0
73,57,22,0
73,57,23,0
73,57,24,0
73,57,25,0
73,57,26,0
73,57,27,0
73,57,28,0
73,57,29,0
73,57,30,0
73,57,31,0
73,57,32,0
73,56,8,0.037
73,56,9,0.028
73,56,10,0.014
73,56,11,0.008
73,56,12,0.007
73,56,13,0.008
73,56,14,0.002
73,56,15,0
73,56,16,0
73,56,17,0
73,56,18,0
73,56,19,0
73,56,20,0
73,56,21,0
73,56,22,0
73,56,23,0
73,56,24,0
73,56,25,0
73,56,26,0
73,56,27,0
73,56,28,0
73,56,29,0
73,56,30,0
73,56,31,0
73,56,32,0
73,55,8,0.17
73,55,9,0.132
73,55,10,0.062
73,55,11,0.063
73,55,12,0.038
73,55,13,0.018
73,55,14,0.018
73,55,15,0.016
73,55,16,0.012
73,55,17,0.006
73,55,18,0.003
73,55,19,0.002
73,55,20,0.002
73,55,21,0.001
73,55,22,0
73,55,23,0
73,55,24,0
73,55,25,0
73,55,26,0
73,55,27,0
73,55,28,0
73,55,29,0
73,55,30,0
73,55,31,0
73,55,32,0
73,54,8,0.026
73,54,9,0.009
73,54,10,0.008
73,54,11,0.004
73,54,12,0.002
73,54,13,0
73,54,14,0
73,54,15,0.001
73,54,16,0.001
73,54,17,0
73,54,18,0
73,54,19,0
73,54,20,0
73,54,21,0
73,54,22,0
73,54,23,0
73,54,24,0
73,54,25,0
