len,bits,seconds
4,8,3.062009811401367e-06
5,8,3.659963607788086e-06
6,8,4.101753234863281e-06
7,8,7.956981658935547e-06
8,8,5.674123764038086e-06
9,8,5.710840225219726e-06
10,8,7.790088653564453e-06
11,8,1.0415077209472656e-05
12,8,1.0715723037719727e-05
13,8,1.2501955032348632e-05
14,8,1.4779806137084961e-05
15,8,7.037878036499023e-06
16,8,6.937980651855469e-06
17,8,7.000207901000977e-06
18,8,8.607149124145508e-06
19,8,8.870124816894531e-06
20,8,9.40394401550293e-06
21,8,8.646965026855469e-06
22,8,9.021043777465821e-06
23,8,8.93092155456543e-06
24,8,9.71221923828125e-06
25,8,1.1733055114746095e-05
26,8,1.0944604873657227e-05
27,8,1.1456012725830077e-05
28,8,1.3082981109619141e-05
29,8,1.2063980102539063e-05
30,8,1.3787031173706054e-05
31,8,1.6375064849853516e-05
32,8,1.53961181640625e-05
33,8,1.7724275588989256e-05
34,8,1.6728639602661134e-05
35,8,2.5836944580078124e-05
36,8,2.5308847427368165e-05
37,8,2.0328044891357422e-05
38,8,1.8181800842285157e-05
39,8,1.567578315734863e-05
40,8,1.5501976013183593e-05
41,8,1.6157865524291992e-05
42,8,3.362202644348144e-05
43,8,1.8066883087158205e-05
44,8,1.5866994857788086e-05
45,8,1.6411781311035156e-05
46,8,1.9025802612304687e-05
47,8,1.8408775329589845e-05
48,8,2.3442745208740233e-05
49,8,2.6569843292236326e-05
50,8,2.3745059967041014e-05
51,8,2.1696090698242188e-05
52,8,2.3308992385864258e-05
53,8,2.2300958633422853e-05
54,8,2.257204055786133e-05
55,8,2.0437955856323242e-05
56,8,2.4658203125e-05
57,8,2.0477771759033203e-05
58,8,2.0224809646606444e-05
59,8,2.019810676574707e-05
60,8,2.632021903991699e-05
61,8,3.195810317993164e-05
62,8,4.152488708496094e-05
63,8,4.352688789367676e-05
64,8,2.808189392089844e-05
65,8,3.255605697631836e-05
66,8,2.4372339248657225e-05
67,8,2.7519941329956056e-05
68,8,2.409696578979492e-05
69,8,2.3608922958374023e-05
70,8,2.3971080780029297e-05
71,8,2.4288177490234375e-05
72,8,2.471303939819336e-05
73,8,2.552199363708496e-05
74,8,2.590370178222656e-05
75,8,2.7110815048217773e-05
76,8,2.6201248168945313e-05
77,8,2.751612663269043e-05
78,8,2.6883840560913086e-05
79,8,2.708888053894043e-05
80,8,2.734518051147461e-05
81,8,2.7602195739746095e-05
82,8,2.8169870376586915e-05
83,8,2.8723955154418946e-05
84,8,2.8610944747924805e-05
85,8,2.8901100158691406e-05
86,8,2.914690971374512e-05
87,8,3.063201904296875e-05
88,8,2.9736042022705077e-05
89,8,3.0165195465087892e-05
90,8,3.115487098693848e-05
91,8,3.299903869628906e-05
92,8,3.22418212890625e-05
93,8,3.331828117370606e-05
94,8,3.171300888061524e-05
95,8,3.224802017211914e-05
96,8,3.3056974411010745e-05
97,8,3.30500602722168e-05
98,8,3.3151865005493166e-05
99,8,3.3512115478515626e-05
100,8,3.3998966217041017e-05
101,8,3.395009040832519e-05
102,8,3.483104705810547e-05
103,8,3.443312644958496e-05
104,8,3.476667404174805e-05
105,8,3.567409515380859e-05
106,8,4.700303077697754e-05
107,8,4.059123992919922e-05
108,8,3.79331111907959e-05
109,8,3.7556171417236326e-05
110,8,3.7584781646728515e-05
111,8,3.813791275024414e-05
112,8,3.8737773895263674e-05
113,8,3.94740104675293e-05
114,8,3.936004638671875e-05
115,8,3.922629356384277e-05
116,8,4.069113731384277e-05
117,8,4.0234088897705076e-05
118,8,4.531407356262207e-05
119,8,5.2603960037231445e-05
120,8,4.1212797164916994e-05
121,8,4.84011173248291e-05
122,8,4.8939943313598634e-05
123,8,4.23281192779541e-05
124,8,4.396915435791015e-05
125,8,4.254889488220215e-05
126,8,4.315805435180664e-05
127,8,4.29837703704834e-05
128,8,4.3211936950683594e-05
129,8,4.9664974212646485e-05
130,8,4.885101318359375e-05
131,8,5.31919002532959e-05
132,8,4.468870162963867e-05
133,8,4.3895959854125976e-05
134,8,4.426813125610352e-05
135,8,4.5212030410766604e-05
136,8,4.569387435913086e-05
137,8,4.511594772338867e-05
138,8,4.5698881149291995e-05
139,8,4.5934200286865236e-05
140,8,4.9087047576904296e-05
141,8,4.6730995178222654e-05
142,8,4.688429832458496e-05
143,8,4.752516746520996e-05
144,8,4.8892974853515626e-05
145,8,4.8600196838378905e-05
146,8,5.054903030395508e-05
147,8,4.887175559997559e-05
148,8,4.8792123794555664e-05
149,8,4.9190044403076175e-05
150,8,5.0951004028320314e-05
151,8,5.045318603515625e-05
152,8,4.9733877182006833e-05
153,8,5.1031827926635744e-05
154,8,5.064702033996582e-05
155,8,5.075931549072266e-05
156,8,5.3081274032592776e-05
157,8,5.179691314697266e-05
158,8,5.1928043365478514e-05
159,8,5.205821990966797e-05
160,8,5.3934812545776366e-05
161,8,5.379986763000488e-05
162,8,5.3070068359375e-05
163,8,5.3570032119750975e-05
164,8,5.380702018737793e-05
165,8,6.349802017211914e-05
166,8,5.4311990737915036e-05
167,8,5.52210807800293e-05
168,8,5.560708045959473e-05
169,8,5.7339191436767576e-05
170,8,6.110095977783203e-05
171,8,5.6107044219970706e-05
172,8,5.702972412109375e-05
173,8,5.628395080566406e-05
174,8,5.7295083999633786e-05
175,8,5.8872222900390624e-05
176,8,5.7862043380737305e-05
177,8,6.542587280273437e-05
178,8,5.9047937393188475e-05
179,8,7.061386108398437e-05
180,8,6.254076957702637e-05
181,8,5.9554100036621096e-05
182,8,6.80398941040039e-05
183,8,6.041216850280762e-05
184,8,6.0286998748779296e-05
185,8,6.318306922912598e-05
186,8,6.110692024230957e-05
187,8,6.087183952331543e-05
188,8,6.187105178833007e-05
189,8,6.175994873046875e-05
190,8,6.198501586914062e-05
191,8,6.241822242736816e-05
192,8,6.320905685424805e-05
193,8,6.493687629699707e-05
194,8,6.340885162353516e-05
195,8,6.430912017822266e-05
196,8,6.37040138244629e-05
197,8,6.527996063232421e-05
198,8,6.56280517578125e-05
199,8,6.55221939086914e-05
200,8,6.483983993530274e-05
201,8,6.916117668151856e-05
202,8,6.600713729858398e-05
203,8,6.821465492248535e-05
204,8,6.68010711669922e-05
205,8,6.752204895019532e-05
206,8,7.5286865234375e-05
207,8,7.741904258728027e-05
208,8,8.76617431640625e-05
209,8,0.00010006308555603027
210,8,7.447099685668945e-05
211,8,6.899476051330566e-05
212,8,6.915712356567382e-05
213,8,6.95948600769043e-05
214,8,7.551717758178711e-05
215,8,9.471678733825684e-05
216,8,8.489608764648437e-05
217,8,7.788395881652832e-05
218,8,7.169723510742188e-05
219,8,7.085108757019043e-05
220,8,7.290768623352051e-05
221,8,7.391691207885742e-05
222,8,7.233405113220215e-05
223,8,7.382512092590332e-05
224,8,7.266616821289062e-05
225,8,7.582783699035645e-05
226,8,7.413482666015625e-05
227,8,7.563996315002442e-05
228,8,7.471203804016113e-05
229,8,7.450199127197265e-05
230,8,7.425212860107421e-05
231,8,7.498812675476075e-05
232,8,7.610511779785157e-05
233,8,7.529711723327637e-05
234,8,7.860398292541504e-05
235,8,7.604408264160156e-05
236,8,7.717466354370118e-05
237,8,7.758212089538575e-05
238,8,7.770395278930664e-05
239,8,7.745981216430664e-05
240,8,8.040189743041993e-05
241,8,7.836890220642089e-05
242,8,7.85048007965088e-05
243,8,7.941508293151856e-05
244,8,7.889795303344727e-05
245,8,8.000397682189941e-05
246,8,8.122897148132325e-05
247,8,8.010005950927734e-05
248,8,8.131217956542969e-05
249,8,8.028411865234375e-05
250,8,8.208799362182618e-05
251,8,8.232808113098145e-05
252,8,8.224177360534668e-05
253,8,9.086179733276367e-05
254,8,8.204793930053711e-05
255,8,8.315014839172363e-05
256,8,8.283710479736329e-05
257,8,8.2794189453125e-05
258,8,8.569192886352539e-05
259,8,9.057998657226563e-05
260,8,8.57539176940918e-05
261,8,8.402085304260254e-05
262,8,8.574891090393066e-05
263,8,8.472919464111328e-05
264,8,8.65788459777832e-05
265,8,8.736991882324219e-05
266,8,8.560323715209961e-05
267,8,8.649992942810059e-05
268,8,8.709287643432617e-05
269,8,8.744311332702636e-05
270,8,8.965611457824707e-05
271,8,8.762001991271973e-05
272,8,8.901286125183105e-05
273,8,8.822393417358399e-05
274,8,8.939695358276368e-05
275,8,8.912086486816407e-05
276,8,9.316301345825196e-05
277,8,9.147191047668457e-05
278,8,9.206366539001464e-05
279,8,9.17530059814453e-05
280,8,9.083700180053711e-05
281,8,9.59770679473877e-05
282,8,9.147906303405761e-05
283,8,9.237504005432129e-05
284,8,9.558987617492676e-05
285,8,9.312987327575684e-05
286,8,9.563684463500976e-05
287,8,9.391689300537109e-05
288,8,9.670114517211914e-05
289,8,9.376120567321777e-05
290,8,9.569907188415528e-05
291,8,9.671711921691895e-05
292,8,9.816074371337891e-05
293,8,9.52458381652832e-05
294,8,9.656286239624024e-05
295,8,9.714794158935547e-05
296,8,9.638404846191406e-05
297,8,9.930992126464844e-05
298,8,9.764313697814942e-05
299,8,9.911227226257324e-05
300,8,0.00010025405883789062
301,8,9.794020652770996e-05
302,8,0.00010113000869750977
303,8,9.97939109802246e-05
304,8,9.891295433044433e-05
305,8,0.00010415005683898926
306,8,9.92898941040039e-05
307,8,0.00010361599922180175
308,8,0.00010007309913635254
309,8,0.00010618329048156738
310,8,0.00010404610633850098
311,8,0.00010449790954589844
312,8,0.00010222411155700684
313,8,0.00010296392440795899
314,8,0.00010318708419799805
315,8,0.00010484814643859863
316,8,0.00010417580604553222
317,8,0.00010533690452575684
318,8,0.00010343217849731446
319,8,0.00010599088668823242
320,8,0.00010420584678649903
321,8,0.00011429119110107422
322,8,0.00010713791847229005
323,8,0.00010717296600341797
324,8,0.0001064291000366211
325,8,0.00010809969902038575
326,8,0.00011319303512573243
327,8,0.0001072702407836914
328,8,0.00010702109336853028
329,8,0.0001072680950164795
330,8,0.00011076712608337403
331,8,0.0001080019474029541
332,8,0.00010952997207641601
333,8,0.00010879087448120118
334,8,0.00011068606376647949
335,8,0.00011071395874023437
336,8,0.00011117696762084961
337,8,0.00010956001281738282
338,8,0.00011157011985778809
339,8,0.00011282110214233399
340,8,0.00011260700225830078
341,8,0.00011180281639099121
342,8,0.00011253094673156738
343,8,0.00011322307586669922
344,8,0.00011478590965270996
345,8,0.00011345100402832032
346,8,0.00011245322227478028
347,8,0.00011432695388793945
348,8,0.000115217924118042
349,8,0.00012026214599609375
350,8,0.00011680412292480468
351,8,0.00011630511283874512
352,8,0.0001188969612121582
353,8,0.00011602306365966797
354,8,0.00011701297760009766
355,8,0.00011575508117675781
356,8,0.00011792182922363282
357,8,0.00011892509460449219
358,8,0.00011941289901733398
359,8,0.0001179656982421875
360,8,0.00011837172508239747
361,8,0.00012280797958374025
362,8,0.00011788702011108399
363,8,0.00011947178840637207
364,8,0.00011882209777832031
365,8,0.0001230132579803467
366,8,0.00012041592597961425
367,8,0.00012000083923339844
368,8,0.0001218571662902832
369,8,0.00012299680709838866
370,8,0.00012235593795776367
371,8,0.0001224520206451416
372,8,0.00012480497360229493
373,8,0.0001261610984802246
374,8,0.00012238430976867676
375,8,0.00012392210960388185
376,8,0.00012385988235473632
377,8,0.00012622427940368652
378,8,0.00012465786933898925
379,8,0.00012338709831237794
380,8,0.00012569236755371094
381,8,0.00012815713882446288
382,8,0.00012556219100952147
383,8,0.00012721419334411622
384,8,0.00012676310539245605
385,8,0.00013009977340698242
386,8,0.00012734317779541015
387,8,0.00012656784057617188
388,8,0.00012814927101135253
389,8,0.00013001227378845216
390,8,0.00012783598899841308
391,8,0.00013147997856140136
392,8,0.0001289808750152588
393,8,0.00013242197036743164
394,8,0.00013090109825134277
395,8,0.0001356360912322998
396,8,0.0001344149112701416
397,8,0.00013464665412902833
398,8,0.00012931084632873536
399,8,0.0001303858757019043
400,8,0.00013242006301879882
401,8,0.00013251996040344237
402,8,0.00013124823570251465
403,8,0.00013076210021972657
404,8,0.00014346885681152343
405,8,0.00013270306587219238
406,8,0.00013203001022338867
407,8,0.00013404631614685058
408,8,0.00013471007347106933
409,8,0.00013207221031188965
410,8,0.00013397884368896484
411,8,0.00013524675369262694
412,8,0.00013473892211914062
413,8,0.00013488197326660156
414,8,0.00013406991958618165
415,8,0.00014186620712280273
416,8,0.00013699936866760253
417,8,0.00013468384742736816
418,8,0.000137603759765625
419,8,0.00014203810691833496
420,8,0.0001387200355529785
421,8,0.0001378190517425537
422,8,0.0001406850814819336
423,8,0.00013736510276794432
424,8,0.00014173102378845214
425,8,0.0001382918357849121
426,8,0.00014162302017211914
427,8,0.00013930082321166992
428,8,0.00014095592498779297
429,8,0.00014191675186157226
430,8,0.00014243102073669434
431,8,0.00014133381843566895
432,8,0.0001394469738006592
433,8,0.00014382100105285646
434,8,0.00014211106300354004
435,8,0.00014154815673828126
436,8,0.00014379501342773438
437,8,0.00014380288124084473
438,8,0.00014213299751281738
439,8,0.00014274096488952636
440,8,0.00014894270896911621
441,8,0.0001453101634979248
442,8,0.0001484980583190918
443,8,0.00014815306663513184
444,8,0.0001492443084716797
445,8,0.0001457228660583496
446,8,0.00014624214172363282
447,8,0.0001509718894958496
448,8,0.00014768815040588378
449,8,0.0001466968059539795
450,8,0.00015293502807617188
451,8,0.00014833498001098634
452,8,0.0001487278938293457
453,8,0.00014935803413391113
454,8,0.00014998722076416015
455,8,0.00015324687957763672
456,8,0.0001489710807800293
457,8,0.00015689921379089355
458,8,0.000150615930557251
459,8,0.00015014100074768066
460,8,0.0001532440185546875
461,8,0.00015148115158081053
462,8,0.00015654611587524413
463,8,0.00015448284149169921
464,8,0.0001516759395599365
465,8,0.00015888285636901856
466,8,0.00015488100051879884
467,8,0.00016422319412231446
468,8,0.00015514230728149415
469,8,0.00015653705596923827
470,8,0.00015733909606933594
471,8,0.0001550929546356201
472,8,0.00015450096130371094
473,8,0.0001590290069580078
474,8,0.0001581737995147705
475,8,0.00015603113174438477
476,8,0.00016060495376586913
477,8,0.00015694618225097656
478,8,0.0001571958065032959
479,8,0.00015974903106689452
480,8,0.00015749502182006836
481,8,0.000159440279006958
482,8,0.00016261601448059083
483,8,0.0001590909957885742
484,8,0.00015845704078674315
485,8,0.00016464996337890625
486,8,0.0001615591049194336
487,8,0.0001605370044708252
488,8,0.00016404509544372557
489,8,0.00016213011741638184
490,8,0.00016414999961853027
491,8,0.00016355109214782714
492,8,0.00016310715675354003
493,8,0.0001615610122680664
494,8,0.00016480684280395508
495,8,0.0001642937660217285
496,8,0.00016364598274230956
497,8,0.00016498994827270509
498,8,0.00016507983207702636
499,8,0.00016640782356262208
500,8,0.00016736197471618652
501,8,0.0001652522087097168
502,8,0.000162431001663208
503,8,0.00016328692436218262
